number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,à,à,啊,啊,"(sound at beginning of sentence expressing mood of weariness/disappointment)",
2,á/á-sī,á/á1-sī,抑是,或是,or (connective),
3,Bí-kok,Bí1-kok,美國,美國,America/U.S.A.,
4,châng,châng,欉,棵,"measure for trees/plants/flowers (in a pot or growing in the ground); not for cut flowers",
5,Chhiáⁿ-mn̄g,Chhiáⁿ1-mn̄g,請問,請問,May I ask (you)/Please tell me,Polite form used to introduce a question.
6,chhiám-á,chhiám1-á,攕仔,叉子,fork (eating utensil),Measure word is ki.
7,chhiú,chhiú,手,手,hand,Measure word is ki.
8,chhiū-á,chhiū-á,樹仔,樹,tree,Measure word is châng.
9,chia̍h-pn̄g-keng,chia̍h3-pn̄g3-keng,食飯間,餐廳,dining room,Measure word is keng.
10,chit,chit,這,這,this / (with a plural numeral) these,"Modifier; never stands alone; followed by the measure of what is modified."
11,ē-hiáu,ē3-hiáu,會曉,會/懂,know how to / understand,Negative: bē-hiáu.
12,gín-á,gín1-á,囡仔,小孩,child,Measure word is ê.
13,gōa,gōa,外,多,"more (used with numbers to mean ""more than the preceding number"")",
14,gōa-bīn/gōa-kháu,gōa3-bīn/gōa3-kháu,外面/外口,外面,outside,
15,hit,hit,彼,那,that / (with a plural numeral) those,"Modifier; never stands alone; followed by the measure of what is modified."
16,í-á,í1-á,椅仔,椅子,chair,"Measure word is tè; some say chiah."
17,í-toh,í1-toh,家伙,桌椅/家具,tables and chairs / furniture,
18,in-ūi,in7-ūi,因為,因為,because/since,
19,kam-á,kam7-á,柑仔,橘子/柑橘,tangerine,Measure word is lia̍p.
20,keng,keng,間,間,"a room; measure for houses, buildings, and rooms",
21,kha,kha,跤,腳,"(Noun) foot/leg (of persons/animals); leg (of table/chair); (Noun suffix) the foot of (mountain/tree); under (bed/table/chair/bookcase)",Measure word is ki.
22,kheh-thiaⁿ,kheh2-thiaⁿ,客廳,客廳,living room / parlor / reception room,Measure word is keng.
23,ki,ki,枝,枝,"measure for hand/leg and for things somewhat slender that are usually grasped with one hand",
24,lāi-bīn/lāi-té,lāi3-bīn/lāi3-té,內面/內底,裡面,on the inside / inside / the interior,
25,lia̍p,lia̍p,粒,粒,"measure for things that are round or thought of as round (balls, candies, fruit)",
26,lóng,lóng,攏,都,all/both/entirely; always; (with negation) never,
27,niā-niā,niā3-niā,爾爾,而已,only,Used only at the end of a clause/sentence.
28,o·-thó·-bái/ki-chhia,o·7-thó·1-bái/ki7-chhia,機車,摩托車/機車,motorcycle,"Measure word is tâi."
29,Oân-lîm,Oân7-lîm,員林,員林,Yuanlin,Name of a large town in Changhua County.
30,pâng-keng,pâng7-keng,房間,房間,bedroom,Measure word is keng.
31,pháiⁿ-sè,pháiⁿ1-sè,歹勢,不好意思,"be sorry; be embarrassed; feel awkward; unsuitable; awkward; inconvenient; unpardonable; unjustifiable",
32,piān-só·,piān3-só·,便所,廁所,toilet,Measure word is keng.
33,só·-í,só·1-í,所以,所以,therefore / consequently / so,
34,su-kù-tah,su7-kù2-tah,速克達,速克達,motor scooter,Measure word is tâi. Foreign loanword.
35,tè,tè,塊,塊,"measure for tables/chairs/blackboards/erasers/smaller towels/cookies/certain candies",
36,-téng,-téng,頂,上,the top / summit / on top of / on,Suffix to a noun.
37,thn̂g-á,thn̂g7-á,糖仔,糖果,candy,"Measure word is tè or lia̍p, depending on its shape."
38,tī,tī,箸,筷子,chopsticks,
39,to/to-á,to/to7-á,刀/刀仔,刀,knife,"Measure word is ki. ""to"" is a large knife; ""to-á"" is a small knife."
40,toh-á,toh2-á,桌仔,桌子,table,"Measure word is tè; some say chiah."
