vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Góa bô chîⁿ.,Góa1 bô7 chîⁿ.,我無錢.,I have no money.
2,Lí ū chîⁿ bô·?,Lí1 ū3 chîⁿ7 bô·3?,你有錢無?,Have you any money?
3,Góa bô ài khòaⁿ-chheh.,Góa1 bô7 ài2 khòaⁿ2-chheh.,我無愛看冊.,I don't want/like to read.
6,Chhiáⁿ chē.,Chhiáⁿ1 chē.,請坐.,Please have a seat.
7,Lí ū chheh bô·?,Lí1 ū3 chheh bô·3?,你有冊無?,Have you any books?
8,Chhiáⁿ lín chia̍h-pn̄g.,Chhiáⁿ1 lín1 chia̍h3-pn̄g.,請恁食飯.,Invite them to eat.
8,Chhiáⁿ lín chia̍h-pn̄g.,Chhiáⁿ1 lín1 chia̍h3-pn̄g.,請恁食飯.,Please eat.
9,chia̍h-pn̄g.,chia̍h3-pn̄g.,食飯.,to have a meal/to eat rice.
9,In bô ài chia̍h-pn̄g.,In7 bô7 ài2 chia̍h3-pn̄g.,𪜶無愛食飯.,They don't want to eat. They don't like to eat rice.
12,Góa ài khòaⁿ-chheh.,Góa1 ài2 khòaⁿ2-chheh.,我愛看冊.,I like to read.
13,Lí ài chia̍h kóe-chí bô·?,Lí1 ài2 chia̍h3 kóe1-chí bô·3?,你愛食果子無?,Do you like to eat fruit?
14,Chhiáⁿ lí kòh lâi chē.,Chhiáⁿ1 lí1 kòh2 lâi7 chē.,請你閣來坐.,Please come again.
17,He m̄-sī chîⁿ.,He m̄3-sī3 chîⁿ.,彼毋是錢.,That is not money.
18,"Che sī pn̄g, sī bô·?","Che sī3 pn̄g, sī3 bô·3?","這是飯, 是無?",Is this rice?
19,"Lí sī Bo̍k-su, sī bô·?","Lí1 sī3 Bo̍k3-su, sī bô·3?","你是牧師, 是無?",Are you a minister?
20,I ài sím-mih?,I7 ài2 sím1-mih2?,伊愛啥物?,What does he want?
20,I bô ài sím-mih.,I7 bô7 ài2 sím1-mih2.,伊無愛啥物.,He doesn't want anything.
20,I bô ài sím-mih chia̍h.,I7 bô7 ài2 sím1-mih2 chia̍h.,伊無愛啥物食.,He doesn't feel very much like eating.
