number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,bé,bé,買,買,to buy,
2,bé-bô,bé1-bô,買無,買不到,to fail to buy (an item because it cannot be found/is not the right size),
3,bé-ū,bé1-ū,買有,買到,to buy what one wants/to buy what one was looking for,
4,bē,bē,賣,賣,to sell,
5,chhēng,chhēng,穿,穿,"(with ""teh"") put on","Used to say put on clothes/shoes, not to put on hats/rings."
6,chhù,chhù,厝,房子/家,house/home/family,
7,chia,chia,遮,這裡,here,
8,Chiong-hòa,Chiong7-hòa,彰化,彰化,Changhua,Name of city/county in central Taiwan.
9,ê,ê,个,個,generic measure word,number of items followed by ê
10,hia,hia,遐,那裡,there/that place,
11,hó bô·?,hó bô·3?,好無?,好嗎?,Is that all right? Is it that OK?,
12,hō·-chò/kiò-chò,hō·3-chò/kiò2-chò,號做/叫做,叫做,to be called/named,Used when expressing one's given name or nickname.
13,kah/kap,kah/kap,佮,和/跟/與,and/with,"Connects nouns/pronouns/noun clauses/some verbs and verbal clauses; does not connect adjectives/adverbs."
14,khò·,khò·,褲,褲子,trousers,Measure word is nía.
15,khui,khui,開,開,to open,
16,kóa,kóa,寡,些/一些,some/several/a small amount,"Always preceded by ""chi̍t"". Signifies an indefinite, small quantity. The noun modified by ""kóa"" does not need a measure word; ""kóa"" itself is a measure word."
17,koaiⁿ,koaiⁿ,關,關,to close,
18,kúi + Measure,kúi1 + Measure,幾+量詞,幾+量詞,how many/how much,"""bô kúi + Measure"" means not many/only a few."
19,lâi-khì,lâi7-khì,來去,去,to go,"Usually used with the first person; not used with negatives or in past tense."
20,Lí hó bô·?,Lí1 hó bô·3?,你好無?,你好嗎?,How are you?,This greeting is not as common in Taiwanese as it is in English.
21,miâ,miâ,名,名字,the given name of a person,"Measure word is ê. ""tōa-miâ"" (great name) is an honorific used when asking someone's given name."
22,mi̍h-kiāⁿ/mi̍h,mi̍h3-kiāⁿ/mi̍h,物件/物,東西/物,thing/article/object,Measure word is ê
23,mn̂g,mn̂g,門,門,door,Measure word is ê
24,nā/nā-sī,nā/nā3-sī,若/若是,若/如果,if,"Usually comes after the subject (expressed or understood)."
25,nía,nía,領,件,measure word for clothing,
26,-ni̍h,-ni̍h,裡,裡/上/内,in/at/on,"Attached to a noun of place; usually with ""tī"". Tone follows the 1-3-7 rule."
27,pêng-iú,pêng7-iú,朋友,朋友,friend,"Measure word is ê. ""hó pêng-iú"" means good friend."
28,pún,pún,本,本,Measure for books,
29,saⁿ,saⁿ,衫,衣服,clothes/shirt/garment/dress,Measure word is nía.
30,saⁿ-khò·/saⁿ-á-khò·,saⁿ7-khò·/saⁿ7-á1-khò·,衫褲/衫仔褲,衣褲/衣服,clothes,Measure word is nía.
31,sé,sé,洗,洗,to wash,"""Sé"" is also used in photography to mean ""make a print from a negative""."
32,sèⁿ-miâ,sèⁿ2-miâ,姓名,姓名,full name,
33,Sin-tek,Sin7-tek,新竹,新竹,Hsinchu,Name of city/county in northern Taiwan.
34,thang-á-mn̂g,thang7-á1-mn̂g,窗仔門,窗戶/窗子,window,Measure word is ê.
35,tī,tī,佇,在,to be in/at/on,
36,toh-ūi/tah-ūi/toh/tah,toh2-ūi/tah2-ūi/toh/tah,佗位,哪裡,where/somewhere;anywhere (with negation word),
