number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,au/au-á,au/au7-á,甌/甌仔,杯子,cup,"Usually not used of a tall one. Measure word: tè."
2,āu,āu,後,後,next / later,"āu-ji̍t = sometime in the future; āu-lé-pài = next week; āu-kò·-go̍eh = next month; āu-pái = next time / sometime."
3,chhe,chhe,初,初,(refers to the first 10 days of the month),
4,chiah-nih/chiah,chiah2-nih3/chiah,遮爾,這麼/如此,such / so / as...,
5,chò-hóe,chò2-hóe,做伙,一起/一塊/一同,together,
6,Eng-gí,Eng7-gí,英語,英語,English language,
7,gōa-kok,gōa3-kok,外國,外國,foreign country,gōa-kok-lâng = foreigner.
8,-go̍eh,-go̍eh,月,月,(with number: name of month),"""go̍eh"" is an enclitic here. The number changes tone if the day follows."
9,hàn-jī/Tiong-kok-jī,hàn2-jī/Tiong7-kok2-jī,漢字/中國字,漢字/中國字,Han characters / Chinese characters,Measure word: jī.
10,hiah-nih/hiah,hiah2-nih/hiah,遐爾,那麼,such / so / as...,
11,iā...iā/mā...mā,iā/mā,也...也/嘛...嘛,也...也/(以及negative) neither...nor,both...and / (with negative) neither...nor,
12,it-tēng,it2-tēng,一定,一定,certain / definite; certainly / definitely,Negative: bô it-tēng.
13,jīn-chin/piàⁿ-sì/piàⁿ-sè/phah-piàⁿ,jīn3-chin/piàⁿ2-sì/piàⁿ2-sè/phah2-piàⁿ,認真/拍拚,認真/努力,diligent,
14,kā,kā,共,給/向,for / to / from / on / at,Used as prefix of object placed before verb.
15,Ká-gī,Ká1-gī,嘉義,嘉義,Chiayi,Name of city/county in south central Taiwan.
16,ka-têng/ke-têng,ka7-têng/ke7-têng,家庭,家庭,family,Measure word: ê.
17,kheh-khì,kheh2-khì,客氣,客氣,politeness / formality; reserved / polite / formal / humble,
18,khì-chúi,khì2-chúi,汽水,汽水,one kind of carbonated drink (often soft drink in general),Measure word: koan / poe.
19,kó·-go̍eh/go̍eh-ji̍t,kó·1-go̍eh/go̍eh3-ji̍t,個月,個月,month (duration),
20,koàn,koàn,罐,罐/瓶,bottle / jar / jug / can,"Measure word for what is contained in a bottle/jar."
21,kok,kok,國,國,kingdom / country,
22,Kok-gí,Kok2-gí,國語,國語,the National Language (Mandarin Chinese),
23,kúi + Measure Word + á,kúi1 + Measure Word + á,幾+量詞+仔,幾+量詞,a few,
24,kúi + ā/nā + Measure,kúi1 + ā3/nā3 + Measure,幾若+量詞,好幾+量詞,several / a small quantity,
25,lâng-kheh,lâng7-kheh,人客,客人/顧客,visitor / guest / customer / passenger,Measure word: ūi / ê.
26,lâng-kheh-keng,lâng7-kheh2-keng,人客間,客房,bedroom for guests,Measure word: keng.
27,ma-mah/lāu-bú/lāu-bó,ma-mah/lāu3-bú/lāu3-bó,媽媽/老母,媽媽,mother,
28,nò·,nò·,喏,吧/了/啊,(exclamation emphasizing the preceding word or phrase),
29,o̍h,o̍h,學,學,to learn / imitate,
30,ông-lâi,ông7-lâi,旺萊,鳳梨,pineapple,"Measure word: lia̍p; of slice: tè."
31,pa-pah/lāu-pē,pa-pah/lāu3-pē,爸爸/老爸,爸爸,father,
32,pah-bān,pah2-bān,百萬,百萬,million,"chheng-bān = ten million; ek = hundred million; cha̍p-ek = one billion."
33,pē-bó/pē-bú,pē3-bó/pē3-bú,父母,父母,parents,
34,phó·-thong,phó·1-thong,普通,普通,ordinary / common; ordinarily,
35,poe/poe-á,poe/poe7-á,杯/杯仔,杯,glass / cup / tumbler,Measure word: tè.
36,sng,sng,酸,酸,sour / acid / tart; to ache,
37,tāi-khài,tāi3-khài,大概,大概/可能,probably / mainly; probable / for the most part,
38,tāi-seng/seng,tāi3-seng/seng,代先/先,先,in advance / first / beforehand,
39,téng,téng,頂,上/前,the other day / a few days ago / previous,"téng-ji̍t / téng-lé-pài / téng-pái / téng-kò·-go̍eh / téng-tiám-cheng."
40,theh,theh,提,拿,to take / carry on the hand (a small object),"With ""hō·"" = to give."
41,thîn,thîn,斟,斟/倒,pour out gently in a small quantity from a spout,
42,tiⁿ,tiⁿ,甜,甜,sweet,
43,Tiong-kok,Tiong7-kok,中國,中國,China,
44,tóh/toh + chi̍t + Measure,tóh2/toh2 + chi̍t3 + Measure,佗+一+量詞,哪一+量詞,which one? / whichever one,
45,ū-ê,ū3-ê,有的,有的/有些,some / some of them / somebody / there are some that...,
