number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,a,a,啊,啊,(suffix indicating joy; tone is irregular — see Grammar Note 4),
2,ài-khùn,ài2-khùn,愛睏,愛睏/想睡,be sleepy,"Generally undesirable quality: use ē/bē"
3,àm-sî,àm2-sî,暗時,晚上/夜間,at night / night-time / during the night,
4,án-ni/án-ne,án1-ni/án1-ne,按呢,這樣,this / this way / such / in this manner,
5,bat,bat,捌,認識/曾,to know / be acquainted with; to have had the experience of,Negative: m̄-bat.
6,bîn-á-àm,bîn7-á1-àm,明仔暗,明晚,tomorrow evening / tomorrow night,
7,chái-khí,chái1-khí,早起,早上,this morning,
8,chái-khí-sî,chái1-khí1-sî,早起時,早晨,in the morning,"Does not mean ""this morning""."
9,chang-àm/chang-mê,chang7-àm/chang7-mê,昨暗/昨暝,昨晚,last night,
10,chhia,chhia,車,車,vehicle,"Measure word: tâi. Includes trains and all 4-wheeled vehicles: buses/cars/vans/trucks."
11,chiah,chiah,才,才,only / only then / then and only then,
12,ē-po·,ē-po·,下晡,下午,this afternoon (from about 2 p.m. until evening),"The tone on ""ē"" does not change."
13,ē-po·-sî,ē-po·7-sî,下晡時,下午時分,in the afternoon / afternoons (about 2 p.m. until evening),"Does not mean ""this afternoon"". The tone on ""ē"" does not change."
14,ē-tàu,ē-tàu,下晝,午時,this afternoon (from about noon till 2 p.m.),"The tone on ""ē"" does not change."
15,ē-tàu-sî,ē-tàu2-sî,下晝時,下午時分,in the afternoons (about noon till 2 p.m.),"Does not mean ""this afternoon"". The tone on ""ē"" does not change."
16,eng-àm,eng7-àm,今暗,今晚,tonight,
17,hāng,hāng,項,件,measure word for affairs / matters / things,
18,hioh-khùn,hioh2-khùn,歇睏,休息/放假,rest (noun and verb) / take a break / time off / be absent,
19,hoⁿh,hoⁿh,乎,嗎,(interrogative sound at end of clause/sentence; expects an affirmative answer),"A common affirmative sound answering ""hoⁿh"" is ""hèⁿ""."
20,iáu,iáu,猶,還,still / yet / another,
21,ji̍t,ji̍t,日,日/太陽,sun / day,
22,ji̍t-sî,ji̍t-sî3,日時,白天/日間,in the daytime,"Lit., ""sun-time"". ""jit"" does not change tone."
23,kàu,kàu,到,到/到達,to arrive / reach (destination); up to (and including),
24,khit-khì,khit-khì,起去,上去,to go up,"At end of clause/sentence (but not suffixed to a verb), ""khit"" does not change tone and ""khì"" is enclitic. As suffix to a verb at end of clause/sentence, both become Double Enclitics."
25,khit-lâi,khit-lâi3,起來,起來,to come up; to get out of bed,"At end of clause/sentence (but not suffixed to a verb), ""khit"" does not change tone and ""lâi"" is enclitic. As suffix to a verb at end of clause/sentence, both become Double Enclitics."
26,khùn,khùn,睏,睡覺,to lie at rest; to sleep,"khì khùn = to go to bed (distinguish from ""to go to sleep"" — No. 27)."
27,khùn-khì/ka-chōe,khùn-khì/ka7-chōe,睏去,睡著,to go to sleep,"Distinguish from ""to go to bed"". Tones on ""khùn"" and ""khí"" never change."
28,khùn-tiong-tàu,khùn2-tiong7-tàu,睏中晝,睡中午,to take a noontime nap,
29,là,là,啦,啦,(exclamation affirming or emphasizing the word(s) it accompanies),
30,lâu,lâu,樓,樓,upper story / storied house,"lâu-kha = ground floor/downstairs; lâu-téng = upstairs."
31,lé-pài,lé1-pài,禮拜,星期,week,
32,pài-it,pài2-it,拜一,星期一,Monday,"pài-jī = Tue; pài-saⁿ = Wed; pài-sì = Thu; pài-gō· = Fri; pài-la̍k = Sat; lé-pài/lé-pài-jit = Sun."
33,loh,loh,落,下,down,"loh-chhia = to alight from a vehicle. At end of clause/sentence ""loh"" does not change tone; ""lâi/khì"" are enclitics."
34,pài-kúi,pài2-kúi,拜幾,星期幾,which day of the week?,
35,peh,peh,爬,爬,to climb,
36,sî-cheng,sî7-cheng,時鐘,時鐘,clock,Measure word: ê.
37,sî-kan,sî7-kan,時間,時間,time,
38,sî-pió/sî-pió-á/pió-á/chhiú-pió-á,sî7-pió/sî7-pió1-á/pió1-á/chhiú1-pió1-á,時錶/手錶,錶/手錶,watch,"Measure word: ê/lia̍p. ""sî-pió"" is any kind of watch; ""chhiú-pió-á"" is used only of a wrist watch."
39,tāi-chì,tāi3-chì,代誌,事情,affair / matter,Measure word: hāng.
40,tang-sî/sím-mih-sî/tī-sî,tang7-sî,當時,何時/什麼時候,when,
41,tiong-tàu,tiong7-tàu,中晝,中午,this noon,
42,tiong-tàu-sî,tiong7-tàu2-sî,中晝時,中午時分,at noontime,"Not referring to ""today""."
43,tńg-khì,tńg-khì,轉去,回去,to go back home,"Note enclitic. Can also mean ""to return to where one was""."
44,tńg-lâi,tńg-lâi3,轉來,回來,to come back home,Note enclitic.
45,tńg-lâi-khì,tńg-lâi3-khì,轉來去,回家去,to go back home,"Used with first person. Note Double Enclitic"
