number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,bái,bái,䆀,醜/壞,ugly / bad / difficult,"Used of people, weather, situations. Opposite of súi or hó. bē-bái = ""not bad"" (often = very good)."
2,Biâu-le̍k,Biâu7-le̍k,苗栗,苗栗,Miaoli,A city/county in north central Taiwan.
3,bīn,bīn,面,臉/面,face / surface,Measure word: ê.
4,chá,chá,早,早,early,Opposite of òaⁿ. chá-chá = rather early; khah chá = earlier / previously.
5,chàu-kha,chàu2-kha,灶跤,廚房,kitchen,Measure word: keng.
6,chhài,chhài,菜,菜,food (savory dishes that go with rice),"Includes meat / fish / vegetables / soup. Does not include rice / bread / dessert. Measure word: hāng."
7,chheⁿ-chhau,chheⁿ7-chhau,腥臊,盛餐,abundant and delicious dinner,
8,chhōa,chhōa,𤆬,帶,to lead / guide / take care of (a child),
9,chiâ/siáng/siáⁿ-lâng,chiâ/siáng/siáⁿ1-lâng,誰/啥人,誰,who?,Synonymous with sím-mih-lâng.
10,chiok,chiok,足,很,very,Stronger than chin.
11,chíu,chíu,酒,酒,alcoholic drink / liquor,"Measure word: poe / koan. Siau-hin-chíu = Shaoxing wine; Be̍h-á-chíu = beer."
12,chiū/tō,chiū/tō,就,就,(connective particle) then / as soon as / a natural consequence / thereupon,chiū-hó / tō-hó = and that will be enough.
13,chíu-chùi/chùi,chíu1-chùi/chùi,醉,醉,to be or become drunk,
14,chú/chí,chú/chí,煮,煮,to cook (by boiling),Also used as the general term for cook by any means.
15,chún-pī,chún1-pī,準備,準備,prepare / get ready; preparation,
16,ê,ê,鞋,鞋,shoe,"Measure word: kha (single); siang (pair). Refers especially to leather shoes."
17,ê-sî/ê sî-chūn,ê7-sî/ê7 sî7-chūn,的時/的時陣,的時候,when / while,"""at the time of"". Ends a dependent clause that English would translate with ""when"" or ""while""."
18,ē-tàng,ē3-tàng,會當,能/可以,can / be able,Auxiliary expressing physical or moral possibility due to circumstances. Negative: bē-tàng.
19,-gōa,-gōa,外,外,out / outside / beyond / foreign,
20,hn̄g,hn̄g,遠,遠,far,Opposite of kīn.
21,hó-khùn,hó1-khùn,好睏,好睡,to sleep well; to sleep immediately; comfortable to sleep in or on,Opposite: pháiⁿ-khùn.
22,hoat-tō·/pán-hoat,hoat2-tō·/pán1-hoat,方法/辦法,方法/辦法,method / means / way,Measure word: ê.
23,í-keng,í1-keng,已經,已經,already,"Always requires the ""a"" of the perfect tense."
24,iân-tâu,iân7-tâu,緣投,英俊,handsome (of male persons),
25,Ji̍t-go̍at-thâm,Ji̍t3-go̍at3-thâm,日月潭,日月潭,Sun Moon Lake,An artificial lake in Nantou County in central Taiwan.
26,kah,kah,到,到/得,up to / until,Often synonymous with kàu.
27,kán-na/kán-taⁿ/chí-ū,kán1-na/kán1-taⁿ/chí1-ū,干焦/只有,只有/僅,only / to have only / there is only...,
28,kha,kha,跤/隻,隻/只,one of a pair (measure for a single chopstick / shoe / etc.),
29,khoán/chióng,khoán/chióng,款/種,樣子/種,kind / sort / type,
30,kīn,kīn,近,近,near,Opposite of hn̄g.
31,-lāi,-lāi,內,內,inside / inner,"Will also be used later to mean ""within"" a time period."
32,liâng,liâng,涼,涼快/輕鬆,pleasantly cool (of weather, only in summer); (of work) pleasant,
33,ngeh,ngeh,挾,夾,to pick up with chopsticks or pincers,
34,òaⁿ,òaⁿ,晏,晚/遲,late,Opposite of chá. òaⁿ-òaⁿ = rather late; khah òaⁿ = later / rather late.
35,óaⁿ,óaⁿ,碗,碗,bowl,Measure word: tè.
36,óaⁿ-pôaⁿ,óaⁿ1-pôaⁿ,碗盤,碗盤,dishes,Measure word: tè.
37,pôaⁿ/pôaⁿ-á,pôaⁿ/pôaⁿ7-á,盤/盤仔,盤子,plate / dish,Measure word: tè.
38,si-koe,si7-koe,西瓜,西瓜,watermelon,Measure word: lia̍p.
39,siang,siang,雙,雙,a pair,
40,súi,súi,媠,美麗/漂亮,beautiful / good-looking,"Of animals/things/female persons; not used of weather or male persons (except babies). Opposite of bái."
41,thng,thng,湯,湯,broth / bouillon / soup,"The measure word for ""thng"" is the container holding it (bowl, etc.)."
42,thng-sî/thng-sî-á,thng7-sî/thng7-sî7-á,湯匙,湯匙,spoon,Measure word: ki.
43,tio̍h,tio̍h,著,對,right / correct,"Negative: m̄-tio̍h. Tio̍h là... = ""Come to think of it...""."
44,tio̍h-ài/tio̍h,tio̍h3-ài/tio̍h,著愛,必須/須要,must / have to,"""Must"" is one of the meanings of ài."
45,tòa,tòa,蹛,在,to be in / at / on,"May be translated ""stay/remain"" but does not mean ""to stay overnight"". Distinguished from tī mostly in commands/requests."
