vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Góa boeh bé mi̍h-kiāⁿ.,Góa1 boeh2 bé1 mi̍h3-kiāⁿ.,我欲買物件.,"I am going shopping."
2,Saⁿ góa khì Chiong-hòa bé-bô.,Saⁿ góa1 khì2 Chiong7-hòa bé1-bô.,衫我去彰化買無.,I went to Changhua to buy some clothes but wasn't able to buy any.
3,"Góa bé-bô, i bé-ū.","Góa1 bé1-bô, i7 bé1-ū.","我買無, 伊買有.",I didn't buy what I wanted; he did.
4,"Lín thài-thài ū teh bē kóe-chí, sī bô·?","Lín1 thài2-thài2 ū3 teh2 bē3 kóe1-chí, sī bô·3?","恁太太有咧賣果子, 是無?","Your wife is selling fruit, isn't she?"
5,chhēng-saⁿ,chhēng3-saⁿ,穿衫,wear clothes.
5,chhēng-khò·,chhēng3-khò·,穿褲,wear trousers.
5,I teh chhēng-saⁿ.,I7 teh2 chhēng3-saⁿ.,伊咧穿衫.,He is getting dressed.
6,Che sī goán chhù.,Che sī3 goán1 chhù.,這是阮厝.,"This is my house."
6,In chhù teh bē kóe-chí.,In7 chhù teh2 bē3 kóe1-chí.,𪜶厝咧賣果子.,His family sells fruit.
7,Chhiáⁿ lí lâi chia.,Chhiáⁿ1 lí1 lâi7 chia.,請你來遮.,Please come here.
7,Góa tī chia.,Góa1 tī3 chia.,我佇遮.,I am here.
9,Ū nn̄g ê lâng teh chia̍h-pn̄g.,Ū3 nn̄g3 ê7 lâng teh2 chia̍h3-pn̄g.,有兩个人咧食飯.,There are 2 people eating.
10,Chhiáⁿ lí khì hia.,Chhiáⁿ1 lí1 khì2 hia.,請你去遐.,Please go over there.
10,Tân Sian-siⁿ ū tī hia bô·?,Tân Sian3-siⁿ3 ū3 tī3 hia bô·3?,陳先生有佇遐無?,Is Mr. Tân there?
10,"Ū, i tī hia.","Ū, i7 tī3 hia.","有, 伊佇遐.","Yes, he's there."
10,"Bô, i bô tī hia.","Bô, i7 bô7 tī3 hia.","無, 伊無佇遐.","No, he's not there."
11,"Lí ê chheh hō· góa khòaⁿ, hó bô·?","Lí1 ê7 chheh2 hō·3 góa1 khòaⁿ, hó1 bô·3?","你的冊予我看, 好無?",How about letting me read your book?
11,"Lí bô ài lim ka-pi; chia̍h kóe-chí, hó bô·?","Lí1 bô7 ài2 lim7 ka7-pi; chia̍h3 kóe1-chí, hó bô·3?","你無愛啉咖啡; 食果子, 好無?","You don't want coffee; have some fruit, OK?"
12,Che kiò-chò sím-mih?,Che kiò2-chò2 sím1-mih?,這叫做啥物?,What is this called?
12,Che kiò-chò thang-á-mn̂g.,Che kiò2-chò2 thang7-á1-mn̂g.,這叫做窗仔門.,This is called a window.
12,Lí sím-mih miâ?,Lí1 sím1-mih2 miâ?,你啥物名?,What is your name?
12,Góa hō·-chò A-Sêng.,Góa1 hō·3-chò2 A7-Sêng.,我號做阿成.,My name is A-Sêng.
13,Goán chhù ū chi̍t ê mn̂g kah saⁿ ê thang-á-mn̂g.,Goán1 chhù ū3 chi̍t3 ê7 mn̂g kah2 saⁿ7 ê7 thang7-á1-mn̂g.,阮厝有一个門佮三个窗仔門.,Our house has one door and 3 windows.
13,I kah góa lâi.,I7 kah2 góa1 lâi.,伊佮我來.,He came with me.
13,In chhiáⁿ góa chia̍h-pn̄g kah lim ka-pi.,In7 chhiáⁿ1 góa1 chia̍h3-pn̄g kah2 lim7 ka7-pi.,𪜶請我食飯佮啉咖啡.,They treated me to a meal and coffee.
