vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Cha-hng lí án-chóaⁿ bô lâi?,Cha7-hng lí1 án1-chóaⁿ bô7 lâi?,昨昏你按怎無來?,Why didn't you come yesterday?
1,Lí boeh án-chóaⁿ chò?,Lí1 boeh2 án1-chóaⁿ chò?,你欲按怎做?,How are you going to do that?
1,I kóng án-chóaⁿ?,I7 kóng1 án1-chóaⁿ?,伊講按怎?,What did he say?
2,Che ài kúi bān?,Che ài2 kúi1 bān?,這愛幾萬?,How many tens of thousands (of dollars) does this cost?
2,Che ài chi̍t-bān.,Che ài2 chi̍t3-bān.,這愛一萬.,This costs ten thousand.
2,Che ài bān kúi?,Che ài2 bān3 kúi?,這愛萬幾?,"What amount of money between 10,000 and 20,000 is this?"
2,Che ài cha̍p-saⁿ á-sī cha̍p-sì bān kho·.,Che ài2 cha̍p3-saⁿ á1-sī3 cha̍p3-sì2 bān3 kho·.,這愛十三抑是十四萬箍.,"This costs $130,000 or $140,000."
3,Bîn-á-chài lí boeh khì bô·?,Bîn7-á1-chài lí1 boeh2 khì bô·3?,明仔載你欲去無?,Are you going tomorrow?
4,Chit kù bô ì-sù.,Chit kù bô7 ì2-sù.,這句無意思.,This sentence is meaningless.
4,Lí nā bô khì bô ì-sù.,Lí1 nā3 bô7 khì bô7 ì2-sù.,你若無去無意思.,If you don't go it will be ridiculous.
5,Nā ū būn-tê ài mn̄g Lāu-su.,Nā3 ū3 būn3-tê ài2 mn̄g3 Lāu3-su.,若有問題愛問老師.,If you have any question you should ask the teacher.
5,Chit khò lín ū sím-mih būn-tê bô·?,Chit2 khò lín1 ū3 sím1-mih2 būn3-tê bô·3?,這課恁有啥物問題無?,Do you have any questions about this lesson?
6,I khì toh-ūi lí chai-iáⁿ bô·?,I7 khì2 toh2-ūi lí1 chai7-iáⁿ bô·3?,伊去佗位你知影無?,Do you know where he went?
6,Góa m̄-chai.,Góa1 m̄3-chai.,我毋知.,I don't know.
6,"Góa chai i sèⁿ sím-mih, m̄-kú m̄-chai-iáⁿ i sím-mih miâ.","Góa1 chai7 i7 sèⁿ2 sím1-mih2, m̄3-kú1 m̄3-chai7-iáⁿ i7 sím1-mih2 miâ.","我知伊的姓, 毋過毋知影伊的啥物名.",I know his surname but not his given name.
6,M̄-chai ū lâng boeh khì bô·?,M̄3-chai7 ū3 lâng7 boeh2 khì bô·3?,毋知有人欲去無?,I wonder if anybody is going.
7,"Chit tâi thih-bé ài chi̍t-chheng-jī kho·, ē kùi bē?","Chit tâi7 thih32-bé ài2 chi̍t3-chheng7-jī3 kho·, ē3 kùi bē?","這台鐵馬愛一千二箍, 會貴袂?","This bicycle costs $1,200; is that expensive?"
7,Bē kùi; chīn sio̍k.,Bē3 kùi; chīn3 sio̍k.,袂貴; 真俗.,That's not expensive; it's very cheap.
7,Lí ài kúi chheng?,Lí1 ài2 kúi1 chheng?,你愛幾千?,How many thousand do you want/need?
8,"Chiah-ê chheh hō· lí, lí ài bô·?","Chiah2-ê7 chheh hō·3 lí, lí1 ài bô·3?","這些冊予你, 你愛無?",I'll give these books to you; do you want them?
8,Góa ài chit pún niâ-niâ.,Góa1 ài2 chit2 pún niâ7-niâ.,我愛這本爾爾.,I only want this one.
8,Chiah-ê chîⁿ sī sím-mih-lâng ê?,Chiah2-ê7 chîⁿ sī3 sím1-mih2-lâng ê?,這些錢是啥物人的?,Whose money is this?
9,choán-siaⁿ/choán-im,choán1-siaⁿ/choán1-im,轉聲/轉音,to change the tone (on a Taiwanese word).
9,Tē-it siaⁿ choán tē-chhit siaⁿ.,Tē3-it2 siaⁿ choán1 tē3-chhit2 siaⁿ.,第一聲轉第七聲.,The 1st tone changes to the 7th tone.
10,I ē lâi bô·?,I7 ē3 lâi bô·3?,伊會來無?,Will he/she come?
10,"Bē, i bē lâi.","Bē, i7 bē3 lâi.","袂, 伊袂來.","No, he/she won't come."
11,Lín kúi tiám hā-khò?,Lín1 kúi1 tiám1 hā3-khò?,恁幾點下課?,What time is your class over?
11,Hā-khò lí boeh khì toh-ūi bô·?,Hā3-khò lí1 boeh2 khì2 toh2-ūi bô·3?,下課你欲去佗位無?,Are you going anywhere after class?
12,I tī chit keng ha̍k-hāu teh chò Lāu-su.,I7 tī3 chit2 keng7 ha̍k3-hāu teh2 chò2 Lāu3-su.,伊佇這間學校咧做老師.,He's a teacher at this school.
12,Chit ê ha̍k-hāu ū lōa-chē ha̍k-seng?,Chit2 ê7 ha̍k3-hāu ū3 lōa3-chē3 ha̍k3-seng?,這个學校有偌濟學生?,How many students does this school have?
13,Hiah-ê lâng tī hia teh chhòng-siaⁿh?,Hiah2-ê7 lâng tī3 hia teh2 chhòng2-siaⁿh?,彼些人佇遐咧創啥?,What are those people doing there?
13,Tī toh-á-téng hiah-ê chhiám-á iáu-bōe sé.,Tī3 toh2-á-téng hiah2-ê7 chhiám1-á iáu1-bōe3 sé.,佇桌仔頂彼些攕仔猶未洗.,Those forks on the table haven't been washed yet.
14,Chit jī án-chóaⁿ hoat-im?,Chit2 jī àn2-chóaⁿ1 hoat2-im?,這字按怎發音?,How do you pronounce this character?
14,Góa chím-á khai-sí teh tha̍k Hoat-im.,Góa1 chím1-á khai7-sí1 teh2 tha̍k3 Hoat2-im.,我這馬開始咧讀發音.,I am now beginning the study of pronunciation.
15,Lán chím-á lâi ho̍k-si̍p.,Lán1 chím1-á lâi7 ho̍k3-si̍p.,咱這馬來復習.,Let's review now.
15,Ài ho̍k-si̍p tē-peh khò.,Ài2 ho̍k3-si̍p tē3-peh2 khò.,愛復習第八課.,We must review Ls 8.
16,Chím-á saⁿ-tiám cha̍p hun.,Chím1-á saⁿ7-tiám cha̍p3 hun.,這馬三點十分.,It's 3:10 now.
16,Chit khò góa siá jī-cha̍p hun.,Chit2 khò góa1 siá1 jī3-cha̍p3 hun.,這課我寫二十分.,I wrote this lesson in 20 minutes.
17,Tùi chia khì hia ài lōa-chē hun-cheng?,Tùi2 chia khì2 hia ài2 lōa3-chē3 hun7-cheng?,對遮去遐愛偌濟分鐘?,How many minutes does it take to ride from here to there?
