vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,bē-bái,bē3-bái,袂䆀,not bad (often = very good).
1,"I sè-hàn ê sî chin bái, m̄-kú tōa-hàn chin súi.","I7 sè2-hàn ê7 sî chin7 bái, m̄3-kú1 tōa3-hàn chin7 súi.","伊細漢的時真䆀, 毋過大漢真媠.",As a little girl she looked awful but as a big girl she looks beautiful.
3,Lí ū khì sé-bīn bô·?,Lí1 ū3 khì2 sé1-bīn bô·3?,你有去洗面無?,Did you wash your face?
3,Hit tè toh-bīn chin súi.,Hit2 tè2 toh2-bīn chin7 súi.,彼塊桌面真媠.,That tabletop is beautiful.
4,chīn chá,chīn3 chá,真早,very early.
4,chá-chá,chá1-chá,早早,rather early.
4,khah chá,khah2 chá,較早,rather early / earlier / previously.
4,Chái-khí i chá-chá tō lâi á.,Chái1-khí i7 chá1-chá tō3 lâi á.,早起伊早早就來矣.,He came rather early this morning.
4,"Àm-sî khah chá khùn, chái-khí khah chá peh-khit-lâi.","Àm2-sî khah2 chá1 khùn, chái1-khí khah2 chá1 peh2-khit-lâi3.","暗時較早睏, 早起較早爬起來.",Go to bed earlier at night and get up earlier in the morning.
4,"I khah chá teh kà-chheh, chím-á bô á.","I7 khah2 chá teh2 kà2-chheh, chím1-á bô á.","伊較早咧教冊, 這馬無矣.",Formerly he was a teacher; not now.
5,I tī chàu-kha teh chú-pn̄g.,I7 tī3 chàu2-kha teh2 chú1-pn̄g.,伊佇灶跤咧煮飯.,He's in the kitchen cooking.
5,Chàu-kha ū kún-chúi bô·?,Chàu2-kha ū3 kún1-chúi bô·3?,灶跤有滾水無?,Is there drinking water in the kitchen?
6,Chit hāng chhài lí ài chia̍h bô·?,Chit2 hāng3 chhài lí1 ài2 chia̍h bô·3?,這項菜你愛食無?,Do you like this (particular) dish?
6,"Kin-á-ji̍t bô chhài, só·-í lóng bô chhài.","Kin7-á1-ji̍t bô7 chhài, só·1-í1 lóng1 bô7 chhài.","今仔日無菜, 所以攏無菜.",We don't have any food today because we didn't buy any.
7,Lí ná chú kah chiah chheⁿ-chhau?,Lí1 ná chú1 kah2 chiah2 chheⁿ7-chhau?,你哪煮甲遮腥臊?,Why did you cook such a big meal?
7,I teh chún-pī chheⁿ-chhau boeh chhiáⁿ lâng-kheh.,I7 teh2 chún1-pī chheⁿ7-chhau boeh2 chhiáⁿ1 lâng7-kheh.,伊咧準備腥臊欲請人客.,He's preparing a big meal for the guests.
8,Sím-mih-lâng chhōa lí lâi chia?,Sím1-mih2-lâng chhōa3 lí1 lâi7 chia?,啥物人𤆬你來遮?,Who brought you here?
8,Góa chhōa lí khì.,Góa1 chhōa3 lí1 khì.,我𤆬你去.,I'll take you there.
9,Lí boeh kah chiâ khì?,Lí1 boeh2 kah2 chiâ khì?,你欲佮誰去?,Whom are you going with?
9,Siáng kā lí kóng-ê?,Siáng kā3 lí1 kóng-ê3?,啥人共你講的?,Who told you?
