number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,chā-bó·/lí,chā3-bó·/lí,查某/女,女,female (of humans only),
2,chā-po·/lâm,chā3-po·/lâm,查埔/男,男,male (of humans only),
3,chài,chài,載,載,to carry (persons/things) on a vehicle / to give a ride,
4,chhá,chhá,吵,吵,to disturb / make a disturbance / annoy by noise / pester; noisy,
5,chha-put-to,chha7-put2-to,差不多,差不多,almost / nearly / around / (lit.) differ very little; (of language ability) adequate,
6,chió,chió,少,少,few / a little (refers to quantity),"chē-chió = more or less / many or few."
7,chng-kha,chng7-kha,庄跤,鄉村/鄉下,rural area,"Generally any place outside the larger cities and their suburbs."
8,ê,ê,的,的,(substitute for a noun forming a new noun-equivalent),"""ê"" follows the 1-3-7 rule (mid-sentence ê7; sentence-end ê3)."
9,êng,êng,閒,閒/有空/有時間,leisure / spare time,"bô-êng = busy; êng-êng = at leisure; ū-êng = to have spare time."
10,gâu,gâu,𠢕,會/能夠,clever / wise / skillful; be good at; important (of people only),
11,ham-bān,ham7-bān,含慢,笨/差勁/不會,clumsy / unskillful / slow (of body or mind),"Not a strong word in Taiwanese."
12,hàn,hàn,漢,個子,measure word used only with tōa/sè and only of persons,
13,hòe,hòe,歲,歲,one year of a person's age,
14,it-ti̍t/ti̍t-ti̍t,it2-ti̍t/ti̍t3-ti̍t,一直/直直,一直,straight ahead / always / constantly / continuously / to continue (doing something),
15,kà,kà,教,教,to teach / instruct,kà-chheh = to teach.
16,ka-tī,ka7-tī,家己,自己,self / oneself alone,
17,kám,kám,敢,難道,"how can it be that...? / you mean to tell me that...? / can it be possible that...?",
18,khah,khah,較,更/較,(comparative particle) more / rather / somewhat,"With ""ài"" to prefer."
19,khong-khì,khong7-khì,空氣,空氣,air,
20,kiò/hiàm,kiò/hiàm,叫/喊,叫,to call / to name / tell someone (frequently an inferior) to do something,
21,kok-hāu,kok2-hāu,國校,國校/小學,primary school,"Measure word: ê/keng. Full form: kok-bîn-sió-ha̍k. Also kok-sió or sió-ha̍k."
22,kū,kū,舊,舊,old,Does not refer to the age of persons.
23,lī-piān,lī3-piān,利便,便利/方便,convenient / handy,
24,lō·,lō·,路,路,road / path / way / route,Measure word: tiâu.
25,lo̍k-im/lo̍k,lo̍k3-im/lo̍k,錄音/錄,錄音/錄,to record on tape,"Lit., to record sound."
26,lo̍k-im-ki,lo̍k3-im7-ki,錄音機,錄音機,tape recorder,Measure word: ê.
27,lo̍k-im-tòa,lo̍k3-im7-tòa,錄音帶,錄音帶,tape (recording),"Measure word: tè (cassette); khûn (open reel)."
28,mài,mài,莫,不要/勿,don't (often a command) / don't want to,
29,ná,ná,哪,怎麼/為什麼,"why? / how can it be that...?","Synonyms: án-chóaⁿ / kám."
30,nî,nî,年,年,year (of 12 months) / year (in school),
31,ò·,ò·,哦,噢,(exclamation; can express joy / sorrow / understanding etc.),
32,sái,sái,駛,駛/駕駛,to drive (a 3- or 4-wheeled vehicle) / to fly (plane) / to sail (boat),
33,sè,sè,細,小,small / little,"Usually requires the measure word of the noun modified."
34,sin,sin,新,新,new,
35,siu-im-ki,siu7-im7-ki,收音機,收音機,radio,Measure word: tâi.
36,só·-chāi,só·1-chāi,所在,地方/所在,place / location,"Measure word: ê. ""ūi"" (toh-ūi) is often used as a synonym."
37,Tâi-lâm,Tâi7-lâm,台南,台南,Tainan,Name of city/county in southern Taiwan.
38,thiaⁿ,thiaⁿ,聽,聽,hear or listen / obey / comply with,
39,tiām,tiām,恬,靜/沉默,quiet (of people and places) / silent; silently,tiām-tiām = keep silent / not move.
40,tiâu,tiâu,條,條,"measure word for long thin curved/bendable things (road, belt) and for songs/problems/laws",
41,to·-chhī,to·7-chhī,都市,都市,big city / metropolis,
42,tòa,tòa,蹛,住,to dwell / to stay in a place,
43,tōa,tōa,大,大,big / large / great / extensive / the elder / full-grown,
44,tōa-lâng,tōa3-lâng,大人,大人/成人,adult,Measure word: ê.
45,ū-sî/ū-sî-á,ū3-sî/ū3-sî7-á,有時/有時仔,有時/有時候,sometimes / occasionally / now and then,
