vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Hit keng ha̍k-hāu ê ha̍k-seng lóng sī chā-bó·-ê.,Hit2 keng7 ha̍k3-hāu ê7 ha̍k3-seng lóng1 sī3 chā3-bó·-ê3.,彼間學校的學生攏是查某的.,The students in that school are all girls.
2,Lí ū kúi ê gín-á?,Lí1 ū3 kúi1 ê7 gín1-á?,你有幾个囡仔?,How many kids do you have?
2,"Ū nn̄g ê; chi̍t ê chā-po·-ê, chi̍t ê chā-bó·-ê.","Ū3 nn̄g3 ê; chi̍t3 ê1 chā3-po·-ê3, chi̍t3 ê7 chā3-bó·-ê3.","有兩个; 一个查埔的, 一个查某的.","Two; 1 boy and 1 girl."
3,"Góa chài lí khì, hó bô·?","Góa1 chài2 lí1 khì, hó bô·3?","我載你去, 好無?","I'll give you a ride, OK?"
3,Hit tâi chhia chài chin-chē mi̍h-kiāⁿ.,Hit2 tâi7 chhia chài2 chin7-chē3 mi̍h3-kiāⁿ.,彼台車載真濟物件.,That truck is carrying a lot of stuff.
4,Hiah-ê gín-á chin gâu chhá.,Hiah2-ê7 gín1-á chin7 gâu7 chhá.,遐的囡仔真𠢕吵.,Can those kids make noise!
4,I chhá boeh khòaⁿ tiān-iáⁿ.,I7 chhá2 boeh2 khòaⁿ2 tiān3-iáⁿ.,伊吵欲看電影.,He's pestering me about going to the movies.
5,Che chha-put-to ài bān-gōa kho·.,Che chha7-put2-to7 ài2 bān3-gōa3 kho·.,這差不多愛萬外箍.,"This will cost more than $10,000 — something like that."
5,"Chit nn̄g hāng, góa khòaⁿ, chha-put-to.","Chit2 nn̄g3 hāng, góa1 khòaⁿ, chha7-put2-to.","這兩項, 我看, 差不多.",I think these 2 things are about the same.
5,Lí ê Tâi-gí chha-put-to.,Lí1 ê7 Tâi7-gí chha7-put2-to.,你的台語差不多.,Your Taiwanese is adequate.
5,Góa chím-á teh tha̍k niā-niā.,Góa1 chím1-á teh2 tha̍k niā3-niā.,我這馬咧讀爾爾.,I'm only getting started.
6,chē-chió,chē3-chió,濟少,more or less / many or few.
6,In chin chió lâng chia̍h-hun.,In7 chin7 chió1 lâng chia̍h3-hun.,𪜶真少人食薰.,Very few of them smoke.
6,Ài chē-chió tha̍k chiah ē-hiáu.,Ài2 chē3-chió1 tha̍k3 chiah2 ē3-hiáu.,愛濟少讀才會曉.,You have to study as much as you can.
7,Chhiáⁿ lín lâi goán chng-kha chò kheh.,Chhiáⁿ1 lín1 lâi7 goán1 chng7-kha chò2 kheh.,請恁來阮庄跤做客.,Please come to my home (rural area) for a visit.
8,He sī i kóng-ê.,He sī3 i7 kóng-ê3.,彼是伊講的.,He's the one who said that.
8,Che m̄-sī góa siá-ê.,Che m̄3-sī3 góa1 siá-ê3.,這毋是我寫的.,This is not what I wrote.
9,bô-êng,bô7-êng,無閒,(very) busy.
9,êng-êng,êng7-êng,閒閒,to be at leisure / to have nothing to do.
9,ū-êng,ū3-êng,有閒,to have spare time.
9,"Góa chin bô-êng; lí ū-êng bô·?","Góa1 chin7 bô7-êng; lí1 ū3-êng bô·3?","我真無閒; 你有閒無?","I'm very busy; do you have any time?"
9,"O·, góa chím-á êng-êng.","O·, góa1 chím1-á êng7-êng.","哦, 我這馬閒閒.","Yes, I have nothing to do now."
10,"Chit kù lí nā ē-hiáu, chin gâu.","Chit2 kù lí1 nā3 ē3-hiáu, chin7 gâu.","這句你若會曉, 真𠢕.",If you understand this sentence you're very smart.
10,Tân Thài-thài chin gâu bé mi̍h-kiāⁿ.,Tân Thài2-thài chin7 gâu7 bé1 mi̍h3-kiāⁿ.,陳太太真𠢕買物件.,Mrs. Tân is a clever shopper.
11,I chin ham-bān kóng-ōe.,I7 chin7 ham7-bān kóng1-ōe.,伊真含慢講話.,He's a poor speaker.
11,"Góa chin ham-bān, lí kiò hit ê lâng chò.","Góa1 chin7 ham7-bān, lí1 kiò2 hit2 ê7 lâng chò.","我真含慢, 你叫彼个人做.",I'm very clumsy; tell that guy to do it.
12,Lín ê gín-á lóng chin tōa hàn.,Lín1 ê7 gín1-á lóng1 chin7 tōa3 hàn.,恁的囡仔攏真大漢.,Your kids are all big.
13,Lí kúi hòe?,Lí1 kúi1 hòe?,你幾歲?,How old are you?
13,Góa jī-cha̍p hòe.,Góa1 jī3-cha̍p3 hòe.,我二十歲.,I am 20.
14,It-ti̍t khì.,It2-ti̍t khì.,一直去.,Go straight on.
