vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Góa ài chîⁿ.,Góa1 ài2 chîⁿ.,我愛錢.,I want/need money.
1,Lí ài lōa-chē?,Lí1 ài2 lōa3-chē?,你愛偌濟?,How much do you want/need?
1,Lí ài lōa-chē chîⁿ?,Lí1 ài2 lōa3-chē3 chîⁿ?,你愛偌濟錢?,How much do you want/need?
2,"Lāu-su, chāi-kiàn.","Lāu3-su, chāi3-kiàn.","老師, 再見.","Goodbye, teacher."
3,Che ài lōa-chē?,Che ài2 lōa3-chē?,這愛偌濟?,How much does this cost?
3,Che sī jī-cha̍p kho·.,Che sī3 jī3-cha̍p3 kho·.,這是二十箍.,This is $20.
4,Góa ū chîⁿ.,Góa1 ū3 chîⁿ.,我有錢.,I have money.
4,Che sī chîⁿ.,Che sī3 chîⁿ.,這是錢.,This is money.
6,Góa ài saⁿ-cha̍p kho·.,Góa1 ài2 saⁿ7-cha̍p3 kho·.,我愛三十箍.,I want $30.
7,Góa sī ha̍k-seng.,Góa1 sī3 ha̍k3-seng.,我是學生.,I am a student.
8,He ài lōa-chē?,He ài2 lōa3-chē?,彼愛偌濟?,How much does that cost?
8,He sī chîⁿ.,He sī3 chîⁿ.,彼是錢.,That is money.
10,I sī Lāu-su.,I7 sī3 Lāu3-su.,伊是老師.,He/She is a teacher.
11,Che sī sì-cha̍p kho·.,Che sī3 sì2-cha̍p3 kho·.,這是四十箍.,This is $40.
12,"Lāu-su, gâu-chá.","Lāu3-su, gâu7-chá.","老師, 𠢕早.","Good morning, teacher."
13,Lí ū lōa-chē chîⁿ?,Lí1 ū3 lōa3-chē3 chîⁿ?,你有偌濟錢?,How much money do you have?
14,Che ài lōa-chē?,Che ài2 lōa3-chē?,這愛偌濟?,How much does this cost?
15,"I sī Lāu-su, góa sī ha̍k-seng.","I7 sī3 Lāu3-su, góa1 sī3 ha̍k3-seng.","伊是老師, 我是學生.",He is a teacher; I am a student.
16,"Lāu-su, to-siā.","Lāu3-su, to7-siā.","老師, 多謝.","Thank you, teacher."
17,I ū gō·-cha̍p kho·.,I7 ū3 gō·3-cha̍p3 kho·.,伊有五十箍.,He has $50.
