vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,I lâi a.,I7 lâi7 a3.,伊來矣.,He has come.
1,"I sī khì Tâi-pak, sī bô·?","I7 sī3 khì2 Tâi7-pak, sī bô·3?","伊是去台北, 是無?","He went to Taipei, didn't he?"
1,Sī-a.,Sī-a7.,是矣.,Yes.
2,Góa ài iōng bān-liân-pit siá-jī.,Góa1 ài2 iōng3 bān3-liân7-pit2 siá1-jī.,我愛用萬年筆寫字.,I like to write with a fountain pen.
3,Lí boeh lim-tê bô·?,Lí1 boeh2 lim7-tê bô·3?,你欲啉茶無?,Do you want some tea?
3,Lí boeh khì Tâi-pak bô·?,Lí1 boeh2 khì2 Tâi7-pak bô·3?,你欲去台北無?,Will you go to Taipei?
4,I teh chhòng-siaⁿh?,I7 teh2 chhòng2-siaⁿh?,伊咧創啥?,What is he doing?
4,I teh siá-jī.,I7 teh2 siá1-jī.,伊咧寫字.,He is writing characters.
4,I bô teh chhòng-siaⁿh.,I7 bô7 teh2 chhòng2-siaⁿh.,伊無咧創啥.,He's not doing anything.
5,I teh chò sím-mih?,I7 teh2 chò2 sím1-mih2?,伊咧做啥物?,What is he doing?
5,Góa teh chò Sîn-hū.,Góa1 teh2 chò2 Sîn7-hū.,我咧做神父.,I am a priest.
6,"Che sī góa ê chheh, m̄-sī lí ê.","Che7 sī3 góa1 ê7 chheh, m̄3-sī3 lí2 ê.","這是我的冊, 毋是你的.","This is my book, not yours."
7,Góa chin bô ài goán-chú-pit siá-jī.,Góa1 chin7 bô7 ài2 goán1-chú1-pit siá1-jī.,我真無愛原子筆寫字.,I hate writing with ballpoint pens.
8,Góa ê chheh hō· lí khòaⁿ.,Góa1 ê7 chheh hō·3 lí1 khòaⁿ.,我的冊予你看.,I'm giving you my book to read.
9,"I boeh khì, góa iā boeh khì.","I7 boeh2 khì, góa1 iā3 boeh2 khì.","伊欲去, 我也欲去.",He's going and so am I.
9,"I bô boeh khì, góa iā bô boeh khì.","I7 bô7 boeh2 khì, góa1 iā3 bô7 boeh2 khì.","伊無欲去, 我也無欲去.",He's not going; I'm not either.
9,"I boeh khì, góa iā m̄ boeh khì.","I7 boeh2 khì, góa1 iā3 m̄3 boeh2 khì.","伊欲去, 我也毋欲去.","Even if he goes, I'm not going."
10,Ha̍k-seng tio̍h iōng iân-pit siá-jī.,Ha̍k3-seng7 tio̍h3 iōng3 iân7-pit2 siá1-jī.,學生著用鉛筆寫字.,Students must use a pencil to write with.
11,I iáu-bōe lâi.,I7 iáu1-bōe3 lâi.,伊猶未來.,He still hasn't come yet.
11,Góa iáu-bōe chia̍h-pn̄g.,Góa1 iáu1-bōe3 chia̍h3-pn̄g.,我猶未食飯.,I haven't eaten yet.
12,Lí boeh iōng sím-mih siá?,Lí1 boeh2 iōng3 sím1-mih2 siá?,你欲用啥物寫?,What will you write with?
13,"Lí teh siá-jī, sī bô·?","Lí1 teh2 siá1-jī, sī3 bô·3?","你咧寫字, 是無?","You're writing, aren't you?"
14,I khì Tâi-pak.,I7 khì2 Tâi7-pak.,伊去台北.,He went to Taipei.
15,I lâi Tâi-tiong tha̍k-chheh.,I7 lâi7 Tâi7-tiong7 tha̍k3-chheh.,伊來台中讀冊.,He came to Taichung to study.
17,Lín sian-siⁿ lè?,Lín1 sian7-siⁿ lè?,恁先生咧?,Where is your husband?
17,I khì Tâi-pak a.,I7 khì2 Tâi7-pak a3.,伊去台北矣.,He has gone to Taipei.
17,Lí ê chîⁿ lè?,Lí1 ê7 chîⁿ lè?,你的錢咧?,Where is your money?
18,Lí boeh khì bô·?,Lí1 boeh2 khì bô·3?,你欲去無?,Are you going?
18,"M̄-a, góa m̄ khì.","M̄-a7, góa1 m̄3 khì.","毋矣, 我毋去.","No, I don't want to go."
19,Che sī sím-mih-lâng ê pit?,Che7 sī3 sím1-mih2-lâng ê7 pit?,這是啥物人的筆?,Whose pen/pencil is this?
20,siá-jī,siá7-jī,寫字,to write characters/to write.
20,Lí teh siá sím-mih?,Lí1 teh2 siá1 sím1-mih2?,你咧寫啥物?,What are you writing?
21,Lí teh kóng siaⁿh?,Lí1 teh2 kóng1 siaⁿh?,你咧講啥?,What are you saying?/What are you talking about?
22,Che sī sím-mih-lâng ê chheh?,Che7 sī3 sím1-mih2-lâng ê7 chheh?,這是啥物人的冊?,Whose book is this?
22,Lín ha̍k-seng siaⁿ-lâng boeh khì Tâi-pak?,Lín1 ha̍k3-seng siaⁿ7-lâng boeh2 khì2 Tâi7-pak?,恁學生啥人欲去台北?,Which one of you students is going to Taipei?
25,I teh chhòng-siaⁿh?,I7 teh2 chhòng2-siaⁿh?,伊咧創啥?,What is he doing?
25,I teh siá-jī.,I7 teh2 siá1-jī.,伊咧寫字.,He is writing.
26,I sī sím-mih-lâng ê thài-thài?,I7 sī3 sím1-mih2-lâng ê7 thài2-thài?,伊是啥物人的太太?,Whose wife is she?
