vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Lí boeh kah goán khì bô·?,Lí1 boeh2 kah2 goán1 khì bô·3?,你欲佮阮去無?,Are you going with us?
1,Hó-a.,Hó2-a3.,好啊.,Suits me fine.
2,Lí ē ài-khùn bē?,Lí1 ē3 ài2-khùn bē3?,你會愛睏袂?,Are you sleepy?
2,"Ē, góa chīn ài-khùn.","Ē, góa1 chīn3 ài2-khùn.","會, 我真愛睏.","Yes, I am sleepy."
2,"Lí bē ài-khùn, sī bô·?","Lí1 bē3 ài2-khùn, sī bô·3?","你袂愛睏, 是無?","You're not sleepy, are you?"
2,"Sī, góa bē khùn-tiong-tàu.","Sī, góa1 bē3 khùn2-tiong7-tàu.","是, 我袂睏中晝.","Right, I won't take a nap at noon."
3,Àm-sî góa bô ài lim ka-pi.,Àm2-sî góa1 bô7 ài2 lim7 ka7-pi.,暗時我無愛啉咖啡.,I don't like to drink coffee at night.
3,Góa àm-sî lóng tī chhù-nih.,Góa1 àm2-sî7 lóng1 tī3 chhù-nih.,我暗時攏佇厝裡.,I'm always home at night.
4,"Án-ni chia̍h, m̄-bián koh ēng to-á kah chhiám-á.","Án1-ni chia̍h, m̄3-bián1 koh2 ēng3 to7-á kah2 chhiám1-á.","按呢食, 毋免閣用刀仔佮攕仔.",Eat it like this — you don't have to use a knife and fork.
4,Ū lâng án-ni kóng bô·?,Ū3 lâng7 án1-ni kóng bô·3?,有人按呢講無?,Do some people say this?
5,Góa m̄-bat i.,Góa1 m̄3-bat i3.,我毋捌伊.,I don't know him.
5,Lí bat lâi chia bô·?,Lí1 bat2 lâi7 chia bô·3?,你捌來遮無?,Have you ever come here before?
6,"Lán bîn-á-àm khì khòaⁿ tiān-iáⁿ, hó bô·?","Lán1 bîn7-á1-àm khì2 khòaⁿ2 tiān3-iáⁿ, hó bô·3?","咱明仔暗去看電影, 好無?","Let's go see a movie tomorrow night, OK?"
7,bîn-á-chái-khí,bîn7-á1-chái1-khí,明仔早起,tomorrow morning.
7,chang-chái-khí,chang7-chái1-khí,昨早起,yesterday morning.
7,chia̍h chái-khí,chia̍h3 chái1-khí,食早起,to eat breakfast.
7,Lín kúi tiám chia̍h chái-khí?,Lín1 kúi1 tiám1 chia̍h3 chái1-khí?,恁幾點食早起?,What time do you eat breakfast?
7,Goán chhit-tiám chia̍h.,Goán1 chhit2-tiám chia̍h.,阮七點食.,We eat at seven.
7,Chang-chái-khí lí án-chóaⁿ bô lâi?,Chang7-chái1-khí lí1 án1-chóaⁿ bô7 lâi?,昨早起你按怎無來?,Why didn't you come this morning?
8,Pài-la̍k chái-khí-sî lí ū siōng-khò bô·?,Pài2-la̍k chái1-khí1-sî lí1 ū3 siōng3-khò bô·3?,拜六早起時你有上課無?,Do you have class Saturday mornings?
9,Chang-àm i lâi chia.,Chang7-àm i7 lâi7 chia.,昨暗伊來遮.,He came here last night.
9,Chit khò góa chang-mê lóng bô tha̍k.,Chit2 khò góa1 chang7-mê lóng1 bô7 tha̍k.,這課我昨暝攏無讀.,I didn't study this lesson at all last night.
10,Lí ū chhia bô·?,Lí1 ū3 chhia bô·3?,你有車無?,Do you have a car?
10,I bé chi̍t tâi chhia.,I7 bé1 chi̍t3 tâi7 chhia.,伊買一台車.,He bought a car.
11,"Lí nā boeh chhiáⁿ, góa chiah boeh khì.","Lí1 nā3 boeh2 chhiáⁿ, góa1 chiah2 boeh2 khì.","你若欲請, 我才欲去.",I won't go unless you're treating.
11,Chhiáⁿ koh lâi.,Chhiáⁿ1 koh2 lâi.,請閣來.,Come again.
11,Chhiáⁿ koh lâi chē.,Chhiáⁿ1 koh2 lâi7 chē.,請閣來坐.,Come again for a visit.
11,Chhiáⁿ koh lâi chhit-thô.,Chhiáⁿ1 koh2 lâi7 chhit2-thô.,請閣來𨑨迌.,Come again for a visit.
12,bîn-á-ē-po·,bîn7-á1-ē-po·,明仔下晡,tomorrow afternoon.
12,chang-ē-po·,chang7-ē-po·,昨下晡,yesterday afternoon.
12,"Góa ē-po· boeh khì, bîn-á-àm chiah boeh tńg-lâi.","Góa1 ē-po· boeh2 khì, bîn7-á1-àm chiah2 boeh2 tńg-lâi3.","我下晡欲去, 明仔暗才欲轉來.","I'm going this afternoon, won't be back till tomorrow night."
12,"I chang-ē-po· lâi, bîn-á-àm chiah boeh tńg-khì.","I7 chang7-ē-po· lâi, bîn7-á1-àm chiah2 boeh2 tńg-khì.","伊昨下晡來, 明仔暗才欲轉去.",He came yesterday afternoon and will go home tomorrow night.
13,Goán chit lé-pài ē-po·-sî lóng boeh tha̍k.,Goán1 chit2 lé1-pài ē-po·7-sî lóng1 boeh2 tha̍k.,阮這禮拜下晡時攏欲讀.,We'll be studying afternoons all this week.
14,bîn-á-ē-tàu,bîn7-á1-ē-tàu,明仔下晝,tomorrow afternoon (noon till 2 p.m.).
14,chang-ē-tàu,chang7-ē-tàu,昨下晝,yesterday afternoon (noon till 2 p.m.).
14,"Ē-tàu bô keng-chio, ū kam-á niā-niā.","Ē-tàu bô7 keng7-chio, ū3 kam7-á niā3-niā.","下晝無弓蕉, 有柑仔爾爾.","This noon we don't have any bananas, only tangerines."
15,Ē-tàu-sî góa bô sím-mih ài chia̍h chin-chē.,Ē-tàu2-sî góa1 bô7 sím1-mih2 ài2 chia̍h3 chin7-chē.,下晝時我無啥物愛食真濟.,I don't like to eat much at noon.
16,chia̍h-àm,chia̍h3-àm,食暗,to have supper.
16,chia̍h àm-pn̄g,chia̍h3 àm2-pn̄g,食暗飯,to have supper.
16,Eng-àm Tē Sian-siⁿ boeh lâi lán chia chia̍h-àm.,Eng7-àm Tē Sian3-siⁿ3 boeh2 lâi7 lán1 chia chia̍h3-àm.,今暗鄭先生欲來咱遮食暗.,Mr. Tē is coming tonight for a meal.
17,Chit hāng tāi-chì lí ē-hiáu chò bē?,Chit2 hāng3 tāi3-chì lí1 ē3-hiáu1 chò bē3?,這項代誌你會曉做袂?,Do you know how to do this?
17,"Góa bē-hiáu chò; góa khòaⁿ, chit hāng tāi-chì chin pháiⁿ-chò.","Góa1 bē3-hiáu1 chò; góa1 khòaⁿ, chit2 hāng3 tāi3-chì chin7 pháiⁿ1-chò.","我袂曉做; 我看, 這項代誌真歹做.",I don't know how to do it; I think this is a very difficult thing to do.
17,Góa cha-hng kah i khì bé chin-chē hāng mi̍h-kiāⁿ.,Góa1 cha7-hng kah2 i7 khì2 bé1 chin7-chē3 hāng3 mi̍h3-kiāⁿ.,我昨昏佮伊去買真濟項物件.,Yesterday I went with him to buy a lot of things.
18,"Cha-hng hioh-khùn, lí khì toh-ūi?","Cha7-hng hioh2-khùn, lí1 khì2 toh2-ūi?","昨昏歇睏, 你去佗位?","Yesterday we had a break; where did you go?"
18,"Góa kin-á-ji̍t boeh hioh-khùn, bô ài tha̍k-chheh.","Góa1 kin7-á1-ji̍t boeh2 hioh2-khùn, bô7 ài2 tha̍k3-chheh.","我今仔日欲歇睏, 無愛讀冊.",I'm going to take off today; I don't want to study.
18,"Lán chit lé-pài ū saⁿ ji̍t ê hioh-khùn; lán lâi-khì chhit-thô.","Lán1 chit2 lé1-pài ū3 saⁿ7 ji̍t ê7 hioh2-khùn; lán1 lâi7-khì2 chhit2-thô.","咱這禮拜有三日的歇睏; 咱來去𨑨迌.",We have 3 days off this week; let's go have some fun.
19,"Lí boeh khì, hoⁿh?","Lí1 boeh2 khì, hoⁿh?","你欲去, 乎?","You're going, aren't you?"
19,Hèⁿ.,Hèⁿ.,嘿.,Yes.
