vocab_number,poj,poj_sandhi,taiwanese_hanji,english
2,Góa ū chin-chē chî*.,Góa1 ū3 chin7-chē3 chî*.,我有真濟錢.,I have a lot of money.
3,Chiah-pá ă.,Chiah2-pá1 ă.,食飽矣.,"Yes, I have eaten."
4,I chin hó.,I7 chin7 hó.,伊真好.,He is very good.
4,I chin ài khòa*-chheh.,I7 chin7 ài2 khòa*2-chheh.,伊真愛看冊.,He really likes to read.
5,Góa bô ài lim ka-pi.,Góa1 bô7 ài2 lim7 ka7-pi.,我無愛啉咖啡.,I don't like coffee. / I don't want coffee (now).
6,kóng-ōe.,kóng1-ōe.,講話.,to talk.
6,I chin ài kóng-ōe.,I7 chin7 ài2 kóng1-ōe.,伊真愛講話.,He loves to talk.
7,Lim kún-chúi.,Lim7 kún1-chúi.,啉滾水.,to drink boiled water.
7,Lí ài lim kún-chúi bô·?,Lí1 ài2 lim7 kún1-chúi1 bô·3?,你愛啉滾水無?,Do you want a drink of water?
8,Lí kùi sè*?,Lí1 kùi2 sè*?,你貴姓?,What is your surname?
10,In bô lâng ài tha̍k.,In7 bô7 lâng7 ài2 tha̍k.,𪜶無人愛讀.,None of them wants to study.
11,Ū lâng ài lim kún-chúi bô·?,Ū3 lâng7 ài2 lim7 kún1-chúi1 bô·3?,有人愛啉滾水無?,Does anyone want a drink of water?
12,Lí ài lim sím-mih?,Lí1 ài2 lim7 sím1-mih2?,你愛啉啥物?,What do you want to drink?
13,N̂g Siàn-si* bô sím-mih ài kóng-ōe.,N̂g7 Siàn2-si*7 bô7 sím1-mih2 ài2 kóng1-ōe.,黃先生無啥物愛講話.,Mr. N̂g is rather quiet (does not like to talk much / doesn't say much).
13,Lâu Siàn-si* chin ài kóng-ōe.,Lâu7 Siàn2-si*7 chin7 ài2 kóng1-ōe.,劉先生真愛講話.,Mr. Lâu loves to talk.
14,Góa sè* Lîm. Lí kùi sè*?,Góa1 sè*2 Lîm. Lí1 kùi2 sè*?,我姓林. 你貴姓?,My surname is Lîm. What's yours?
16,Sit-lé! Sit-lé!,Sit2-lé! Sit2-lé!,失禮! 失禮!,"I'm very sorry (e.g., for making a mess of things)."
19,Chhiá* lí lim-tê.,Chhiá*1 lí1 lim7-tê.,請你啉茶.,Please have some tea (OR: drinking water).
20,"Góa ài lim kún-chúi, bô ài lim tê-bí-tê.","Góa1 ài2 lim7 kún1-chúi, bô7 ài2 lim7 tê7-bí1-tê.","我愛啉滾水, 無愛啉茶米茶.","I want to drink water, not tea."
21,"I chin ài kóng-ōe, bô ài tha̍k-chheh.","I7 chin7 ài2 kóng1-ōe, bô7 ài2 tha̍k3-chheh.","伊真愛講話, 無愛讀冊.",He likes to talk; he doesn't like studying.
