vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Góa bô chî*.,Góa1 bô7 chî*.,我無錢.,I have no money.
2,Lí ū chî* bô·?,Lí1 ū3 chî*7 bô·3?,你有錢無?,Have you any money?
3,Góa bô ài khòa*-chheh.,Góa1 bô7 ài2 khòa*2-chheh.,我無愛看冊.,I don't want (OR: like) to read.
6,Chhiá* chē.,Chhiá*1 chē.,請坐.,Please have a seat.
7,Lí ū chheh bô·?,Lí1 ū3 chheh2 bô·3?,你有冊無?,Have you any books?
8,Chhiá* lín chiah-pn̄g.,Chhiá*1 lín1 chiah2-pn̄g.,請恁食飯.,Invite them to eat.
8,Chhiá* lín chiah-pn̄g.,Chhiá*1 lín1 chiah2-pn̄g.,請恁食飯.,Please eat.
9,chiah-pn̄g.,chiah2-pn̄g.,食飯.,to eat rice/eat/have a meal.
9,In bô ài chiah-pn̄g.,In7 bô7 ài2 chiah2-pn̄g.,𪜶無愛食飯.,They don't want to eat. OR: They don't like to eat rice.
12,Góa ài khòa*-chheh.,Góa1 ài2 khòa*2-chheh.,我愛看冊.,I like to read.
13,Lí ài chiah kóe-chí bô·?,Lí1 ài2 chiah2 kóe1-chí1 bô·3?,你愛食果子無?,Do you like to eat fruit?
14,Chhiá* lí kòh lâi chē.,Chhiá*1 lí1 kòh2 lâi7 chē.,請你閣來坐.,Please come again.
17,He m̄-sī chî*.,He7 m̄3-sī3 chî*.,彼毋是錢.,That is not money.
18,"Che sī pn̄g, sī bô·?","Che7 sī3 pn̄g, sī3 bô·3?","這是飯, 是無?",Is this rice?
19,"Lí sī Bo̍k-su, sī bô·?","Lí1 sī3 Bo̍k3-su, sī3 bô·3?","你是牧師, 是無?",Are you a minister?
20,I ài sím-mih?,I7 ài2 sím1-mih2?,伊愛啥物?,What does he want?
20,I bô ài sím-mih.,I7 bô7 ài2 sím1-mih2.,伊無愛啥物.,He doesn't want anything.
20,I bô ài sím-mih chiah.,I7 bô7 ài2 sím1-mih2 chiah.,伊無愛啥物食.,He doesn't feel very much like eating.
