number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,a,a,矣,了,sign of the Perfect Tense; also used as exclamation and for other uses,Use the 1-3-7 tone rule
2,bān-liân-pit,bān3-liân7-pit,萬年筆,鋼筆,fountain pen,
3,boeh,boeh,欲,要/將,to wish/want will (sign of future action),
4,chhòng,chhòng,創,幹/做,to do,"Mostly used in the expressions ""What is/are (subject) doing?"" and "...not doing anything.""
5,chò,chò,做,做,"to do; be (serve as)",
6,ê,ê,的,的,sign of possessive case,""ê" is placed between the possessor and the thing/person possessed. What is possessed may be expressed or understood; if it is not expressed, "ê" does not change tone."
7,goán-chú-pit,goán1-chú1-pit,原子筆,原子筆,ballpoint pen,
8,hō·,hō·,予,給,to give,
9,iā/mā,iā/mā,也/嘛,也,also/too;either;even,
10,iân-pit,iân7-pit,鉛筆,鉛筆,pencil,
11,iáu-bōe,iáu1-bōe,猶未,還沒,not yet,
12,iōng/ēng,iōng/ēng,用,用,to use;to spend (time, money);with,
13,jī,jī,字,字,character/word/letter,
14,khì,khì,去,去,to go,
15,lâi,lâi,來,來,to come,
16,lâi chē,lâi7 chē,來坐,來坐/請坐,Come in and sit down,a courteous greeting
17,lè,lè,咧,呢,a sound at the end of a sentence that gives an interrogative meaning,
18,m̄,m̄,毋,不,to be unwilling/not want;no (I am unwilling),
19,pit,pit,筆,筆,pen,
20,siá,siá,寫,寫,to write,
21,siaⁿh/siaⁿ-hòe,siaⁿh/siaⁿ7-hòe,啥/啥貨,什麼,what?;anything (with negation word),"Synonymous with "sím-mih". Note that "siaⁿh" and the "sia" of "siaⁿ-hòe" are not the same word or tone."
22,sím-mih-lâng/siaⁿ-lâng,sím1-mih2-lâng/siaⁿ7-lâng,啥物人/啥人,誰,who/whom;anyone (with negation word),
23,Tâi-pak,Tâi7-pak,台北,台北,Taipei,
24,Tâi-tiong,Tâi7-tiong,台中,台中,Taichung,
25,teh,teh,咧,正在,progressive form of the following verb,"Can refer to past, present or future. Can also indicate habitual action."
26,thài-thài,thài2-thài,太太,太太,wife/Mrs.,
