vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Toh-téng hit tè au-á sī sím-mih-lâng lim-ê?,Toh2-téng hit2 tè2 au7-á sī3 sím1-mih2-lâng lim-ê1?,桌頂彼塊甌仔是啥物人啉的?,Who drank the cup on the table?
2,āu-ji̍t,āu3-ji̍t,後日,sometime (in the future but not the distant future).
2,āu-lé-pài,āu3-lé1-pài,後禮拜,next week.
2,āu-kó·-go̍eh,āu3-kó·1-go̍eh,後個月,next month.
2,āu-pái,āu3-pái,後擺,next time / sometime.
2,"Āu-ji̍t nā ū khì hia kā lí bé.","Āu3-ji̍t nā3 ū3 khì2 hia kā3 lí1 bé.","後日若有去遐, 才買予你.","If I go there sometime, I'll buy it for you."
2,"Góa chím-á bé o·-thó·-bái; āu-pái boeh bé chhia.","Góa1 chím1-á bé1 o·7-thó·1-bái; āu3-pái boeh2 bé1 chhia.","我這馬買機車; 後擺欲買車.",I bought a motorcycle now; next time I'll buy a car.
3,Āu-kó·-go̍eh chhe chiah boeh khì.,Āu3-kó·1-go̍eh chhe chiah2 boeh2 khì.,後個月初才欲去.,I'm not going until the first third of next month.
3,Kin-á-ji̍t cha̍p-jī-go̍eh chhe kúi?,Kin7-á1-ji̍t cha̍p3-jī3-go̍eh3 chhe7 kúi?,今仔日十二月初幾?,Today is December what?
3,Kin-á-ji̍t chhe-la̍k.,Kin7-á1-ji̍t chhe7-la̍k.,今仔日初六.,Today is the 6th.
4,Lí ná chiah-nih kùi?,Lí1 ná chiah2-nih3 kùi?,你哪遮爾貴?,How come it's this expensive?
4,"Bē là, chīn sio̍k.","Bē là, chīn3 sio̍k.","袂啦, 真俗.","It's not expensive; it's very cheap."
4,Lí ná chiah gâu?,Lí1 ná chiah2 gâu?,你哪遮𠢕?,How come you're so smart?
4,Ná-ū.,Ná-ū.,哪有.,Hardly. Not at all.
5,Lán chò-hóe lâi-khì.,Lán1 chò2-hóe1 lâi7-khì.,咱做伙來去.,Let's go together.
5,Góa bô ài kah i chē chò-hóe.,Góa1 bô7 ài2 kah2 i7 chē3 chò2-hóe.,我無愛佮伊坐做伙.,I don't want to sit together with him.
6,Eng-gí góa bô chin gâu kóng.,Eng7-gí góa1 bô7 chin7 gâu7 kóng.,英語我無真𠢕講.,I'm not very good at speaking English.
6,"Chhiáⁿ lí kā goán kà Eng-gí, hó bô·?","Chhiáⁿ1 lí1 kā3 goán1 kà2 Eng7-gí, hó bô·3?","請你教阮英語, 好無?","Please teach us English, OK?"
6,"Sit-lé, góa bô sím-mih sî-kan.","Sit2-lé, góa1 bô7 sím1-mih2 sî7-kan.","失禮, 我無啥物時間.","Sorry, I don't have much time."
7,Lí bat khì gōa-kok chhit-thô bô·?,Lí1 bat2 khì2 gōa3-kok chhit2-thô bô·3?,你捌去外國𨑨迌無?,Have you ever gone abroad for a little recreation?
7,Ū chin-chē gōa-kok-lâng tòa tī Tâi-oân.,Ū3 chin7-chē3 gōa3-kok2-lâng tòa3 tī3 Tâi7-oân.,有真濟外國人蹛佇台灣.,There are many foreigners living in Taiwan.
8,chiaⁿ-go̍eh,chiaⁿ-go̍eh3,正月,January.
8,jī-go̍eh,jī-go̍eh3,二月,February.
8,saⁿ-go̍eh,saⁿ-go̍eh3,三月,March.
8,sì-go̍eh,sì-go̍eh3,四月,April.
8,gō·-go̍eh,gō·-go̍eh3,五月,May.
8,la̍k-go̍eh,la̍k-go̍eh3,六月,June.
8,chhit-go̍eh,chhit-go̍eh3,七月,July.
8,peh-go̍eh,peh-go̍eh3,八月,August.
8,káu-go̍eh,káu-go̍eh3,九月,September.
8,cha̍p-go̍eh,cha̍p-go̍eh3,十月,October.
8,cha̍p-it-go̍eh,cha̍p3-it-go̍eh3,十一月,November.
8,cha̍p-jī-go̍eh,cha̍p3-jī-go̍eh3,十二月,December.
8,Kin-á-ji̍t chiaⁿ-go̍eh tang-sî?,Kin7-á1-ji̍t chiaⁿ-go̍eh tang7-sî?,今仔日正月當時?,Today is January what?
8,Cha̍p-jī-go̍eh jī-cha̍p-gō· chhiáⁿ lí lâi goán chia.,Cha̍p3-jī3-go̍eh3 jī3-cha̍p3-gō· chhiáⁿ1 lí1 lâi7 goán1 chia.,十二月二十五請你來阮遮.,Please come here on Dec. 25.
8,Lí kúi-go̍eh boeh khì?,Lí1 kúi-go̍eh3 boeh2 khì?,你幾月欲去?,What month are you going?
9,Lí bat kúi jī hàn-jī?,Lí1 bat2 kúi1 jī3 hàn2-jī?,你捌幾字漢字?,How many characters do you know?
9,Hàn-jī góa iáu-bōe khai-sí o̍h.,Hàn2-jī góa1 iáu1-bōe3 khai7-sí1 o̍h.,漢字我猶未開始學.,I haven't begun the study of characters yet.
9,Góa bat chi̍t-pòaⁿ-jī-á niā-niā.,Góa1 bat2 chi̍t3-pòaⁿ2-jī-á niā3-niā.,我捌幾字仔爾爾.,I only know a few characters.
10,Lí kin-á-ji̍t ná hiah jīn-chin?,Lí1 kin7-á1-ji̍t ná1 hiah2 jīn3-chin?,你今仔日哪遐認真?,Why are you so diligent today?
10,"I kóng hit keng bē sì-pah-bān; kám ài hiah kùi?","I7 kóng1 hit2 keng bē3 sì2-pah2-bān; kám1 ài2 hiah2 kùi?","伊講彼間賣四百萬; 敢愛遐貴?",He says he'll sell that house for 4 million; can it really be that expensive?
11,"Chit hāng tāi-chì i iā chai-iáⁿ, góa iā chai-iáⁿ.","Chit2 hāng3 tāi3-chì i7 iā3 chai7-iáⁿ, góa1 iā3 chai7-iáⁿ.","這項代誌伊也知影, 我也知影.",Both he and I know about this matter.
11,"Tī chia ū keng-chio iā ū ông-lâi; lí ài chia̍h siaⁿh?","Tī3 chia ū3 keng7-chio iā3 ū3 ông7-lâi; lí1 ài2 chia̍h3 siaⁿh?","佇遮有弓蕉也有旺萊; 你愛食啥?",Here we have bananas and pineapples; what do you want?
12,Lí ū it-tēng boeh khì bô·?,Lí1 ū3 it2-tēng boeh2 khì bô·3?,你有一定欲去無?,Are you definitely going?
12,"Ū, ū it-tēng.","Ū, ū3 it2-tēng.","有, 有一定.","Yes, it's certain."
12,Bô it-tēng.,Bô7 it2-tēng.,無一定.,It's not certain.
12,He sī it-tēng ê.,He sī3 it2-tēng ê7.,彼是一定的.,That's certain.
12,He bô it-tēng.,He bô7 it2-tēng.,彼無一定.,That's not certain.
13,Ha̍k-seng ài jīn-chin tha̍k-chheh.,Ha̍k3-seng ài2 jīn3-chin7 tha̍k3-chheh.,學生愛認真讀冊.,Students must study hard.
13,"Lāu-su kiò i siá-jī, i chin piàⁿ-sì siá.","Lāu3-su kiò2 i7 siá1-jī, i7 chin7 piàⁿ-sì siá.","老師叫伊寫字, 伊真拍拚寫.",The teacher told him to write and he's writing very diligently.
14,Lí ū sî-kan bô·? Góa kā lí kóng chi̍t hāng tāi-chì.,Lí1 ū3 sî7-kan bô·3? Góa1 kā3 lí1 kóng1 chi̍t3 hāng3 tāi3-chì.,你有時間無? 我共你講一項代誌.,Do you have some time? I'd like to tell you about something.
14,Kā lín bé mi̍h-kiāⁿ?,Kā3 lín1 bé1 mi̍h3-kiāⁿ?,共恁買物件?,Anybody here? (Lit. buy something from you?)
14,"Góa nā ū chhut-khì, góa chiah kā lí bé.","Góa1 nā3 ū3 chhut-khì, góa1 chiah2 kā3 lí1 bé.","我若有出去, 我才共你買.",If I go out I'll get (buy) it for you.
16,Lín ka-têng ū kúi ê lâng?,Lín1 ka7-têng ū3 kúi1 ê7 lâng?,恁家庭有幾个人?,How many are there in your family?
16,"Goán ū gō· ê: pa-pah, ma-mah kap saⁿ ê gín-á.","Goán1 ū3 gō·3 ê: pa7-pah, ma7-mah kap2 saⁿ7 ê7 gín1-á.","阮有五个: 爸爸, 媽媽佮三个囡仔.","There are 5 of us: daddy, mommy and 3 kids."
17,M̄-bián kheh-khì.,M̄3-bián1 kheh2-khì.,毋免客氣.,No need to be so formal.
17,I kóng-ōe chin kheh-khì.,I7 kóng1-ōe chin7 kheh2-khì.,伊講話真客氣.,He speaks very courteously.
18,Lí ài lim khì-chúi bô·?,Lí1 ài2 lim7 khì2-chúi bô·3?,你愛啉汽水無?,Do you want a soft drink?
18,Chi̍t koàn khì-chúi ū kúi poe?,Chi̍t3 koàn2 khì2-chúi ū3 kúi1 poe?,一罐汽水有幾杯?,How many glasses will a bottle of soft drink fill?
19,Chit kó·-go̍eh ū saⁿ-cha̍p-ji̍t niā-niā.,Chit2 kó·1-go̍eh ū3 saⁿ7-cha̍p3-ji̍t niā3-niā.,這個月有三十日爾爾.,This month has only 30 days.
19,Lí tha̍k kúi kó·-go̍eh á?,Lí1 tha̍k3 kúi1 kó·1-go̍eh á?,你讀幾個月矣?,How many months have you studied?
20,Chhiáⁿ lí khì bé chi̍t koan khì-chúi lâi.,Chhiáⁿ1 lí1 khì2 bé1 chi̍t3 koan7 khì2-chúi lâi.,請你去買一罐汽水來.,Please go buy a bottle of soft drink.
21,Lí sī toh chi̍t kok ê lâng?,Lí1 sī3 toh2 chi̍t3 kok ê7 lâng?,你是佗一國的人?,What country are you from?
21,Lâng lóng ài ka-tī ê kok.,Lâng lóng1 ài2 ka7-tī ê7 kok.,人攏愛家己的國.,Everyone loves his own country.
22,Hit ê gōa-kok-lâng chin gâu kóng Kok-gí.,Hit2 ê7 gōa3-kok2-lâng chin7 gâu7 kóng1 Kok2-gí.,彼个外國人真𠢕講國語.,That foreigner speaks the National Language very well.
23,Góa ū kúi-kho·-á niā-niā.,Góa1 ū3 kúi1-kho·7-á niā3-niā.,我有幾箍仔爾爾.,I only have a few dollars.
23,"Lí ê chheh kúi-pún-á hō· góa khòaⁿ, hó bô·?","Lí1 ê7 chheh kúi1-pún1-á1 hō·3 góa1 khòaⁿ, hó bô·3?","你的冊幾本仔予我看, 好無?","Let me read a few of your books, OK?"
24,"I chia̍h kúi-ā-jí á, iáu boeh koh chia̍h.","I7 chia̍h3 kúi1-ā3-jí á3, iáu1 boeh2 koh2 chia̍h.","伊食幾若粒矣, 猶欲閣食.",He has eaten several and he still wants more.
