vocab_number,poj,poj_sandhi,taiwanese_hanji,english
2,Kong-lō·-kio̍k/Tâi-oân-khek-ūn,Kong7-lō·3-kio̍k/Tâi7-oân7-khek2-ūn,公路局/台灣客運,Highway Bureau Bus Company.
2,Tiong-hin-hō/Tiong-hin-ê,Tiong7-hin7-hō/Tiong7-hin7-ê,中興號/中興的,Chungshin Bus (of the Highway Bureau).
2,Chiong-hòa kheh-ūn,Chiong7-hòa kheh2-ūn,彰化客運,Changhua Bus Company (private).
2,tūi-hō,tūi3-hō,對號,reserved seat.
2,Tiong-hin ū tūi-hō.,Tiong7-hin ū3 tūi3-hō.,中興有對號.,The Tiong-hin has reserved seats.
3,I teh chò tāi-chì chīn bān.,I7 teh2 chò2 tāi3-chì chīn3 bān.,伊咧做代誌真慢.,He does things very slowly.
3,Chhia bān-hun.,Chhia bān3-hun.,車慢分.,The train/bus is late.
5,Tī chhia-thâu ū chīn-chē lâng.,Tī3 chhia7-thâu ū3 chīn3-chē3 lâng.,佇車頭有真濟人.,There are many people at the station.
5,Lí chhōa i khì chhia-thâu chē hóe-chhia.,Lí1 chhōa3 i7 khì2 chhia7-thâu chē3 hóe1-chhia.,你𤆬伊去車頭坐火車.,Take him to the station to get the train.
6,chhiò-chhiò,chhiò2-chhiò,笑笑,all smiles.
6,kóng-chhiò,kóng1-chhiò,講笑,to tell a joke.
6,Lí teh chhiò sím-mih?,Lí1 teh2 chhiò sím1-mih?,你咧笑啥物?,What are you laughing at?
7,pòaⁿ-phiò,pòaⁿ2-phiò,半票,half-fare ticket.
7,Choân-phiò ài lōa-chē chîⁿ?,Choân7-phiò ài2 lōa3-chē3 chîⁿ?,全票愛偌濟錢?,How much is a full-fare ticket?
7,Lí hiah tōa-hàn ài bé choân-phiò.,Lí1 hiah2 tōa3-hàn ài2 bé1 choân7-phiò.,你遐大漢愛買全票.,You're so big you have to buy a full-fare ticket.
8,Chòe-kīn tiāⁿ-tiāⁿ loh-hō·.,Chòe2-kīn tiāⁿ3-tiāⁿ lo̍h3-hō·.,最近定定落雨.,It's been raining a lot lately.
8,Lí chòe-kīn ū boeh khì toh-ūi bô·?,Lí1 chòe2-kīn ū3 boeh2 khì2 toh2-ūi bô·3?,你最近有欲去佗位無?,Are you going anywhere soon?
9,Bô chúi thang sé.,Bô7 chúi thang7 sé.,無水通洗.,We don't have any water to wash with.
9,Lí ài lim léng-kún-chúi bô·?,Lí1 ài2 lim7 léng1-kún1-chúi bô·3?,你愛啉冷滾水無?,Do you want a drink of cold water?
10,lo̍h-hō·,lo̍h3-hō·,落雨,to rain.
10,lo̍h-hō·-thiⁿ,lo̍h3-hō·3-thiⁿ,落雨天,rainy weather.
10,"Hō· lo̍h chīn tōa, mài chhut-khì.","Hō· lo̍h chīn3 tōa, mài2 chhut-khì.","雨落真大, 莫出去.","The rain is heavy, don't go out."
11,"Gōa-bīn khah khòaⁿ, lí tio̍h-ài chhēng saⁿ hō· sio.","Gōa3-bīn khah2 kôaⁿ, lí1 tio̍h3-ài2 chhēng3 saⁿ hō· sio.","外面較寒, 你著愛穿衫予燒.",It's cold out; you have to dress warm.
11,Ài chò hō· i oân.,Ài2 chò hō· i7 oân.,愛做予伊完.,You must finish it.
11,Lí ū chia̍h hō· pá bô·?,Lí1 ū3 chia̍h3 hō· pá bô·3?,你有食予飽無?,Did you eat till full?
11,"O·, góa chia̍h hō· pá á.","O·, góa1 chia̍h3 hō· pá á.","哦, 我食予飽矣.","Yes, I'm full."
12,"Lí nā lâi, góa ē chīn hoaⁿ-hí.","Lí1 nā3 lâi, góa1 ē3 chīn3 hoaⁿ7-hí.","你若來, 我會真歡喜.",I'll be delighted if you come.
12,"Lí án-ni kóng, i chīn bô hoaⁿ-hí.","Lí1 án1-ni kóng, i7 chīn3 bô7 hoaⁿ7-hí.","你按呢講, 伊真無歡喜.",He's very unhappy about what you said.
12,Lí teh hoaⁿ-hí sím-mih?,Lí1 teh2 hoaⁿ7-hí sím1-mih?,你咧歡喜啥物?,What are you so happy about?
12,I ē hoaⁿ-hí khì.,I7 ē3 hoaⁿ7-hí khì.,伊會歡喜去.,He'll be happy to go.
13,Lí boeh chē hóe-chhia á-sī bah-suh?,Lí1 boeh2 chē3 hóe1-chhia á1-sī3 bah3-suh?,你欲坐火車抑是巴士?,Are you going to take the train or the bus?
13,"Tùi chia khì Tâi-pak, hóe-chhia chi̍t-ji̍t ū kúi pang?","Tùi2 chia khì2 Tâi7-pak, hóe1-chhia chi̍t3-ji̍t ū3 kúi1 pang?","對遮去台北, 火車一日有幾班?",How many trains a day are there from here to Taipei?
14,Saⁿ sé iáu-bōe hó.,Saⁿ sé1 iáu1-bōe3 hó.,衫洗猶未好.,I haven't finished washing the clothes yet.
14,"I chia̍h iáu-bōe pá; i boeh koh chia̍h.","I7 chia̍h3 iáu1-bōe3 pá; i7 boeh2 koh2 chia̍h.","伊食猶未飽; 伊欲閣食.",He hasn't finished eating yet; he wants to eat some more.
15,Kin-á-ji̍t bô khì ū iàu-kín?,Kin7-á1-ji̍t bô7 khì2 ū3 iàu2-kín?,今仔日無去有要緊?,Does it make any difference if we don't go today?
15,Kin-á-ji̍t bô khì bô iàu-kín.,Kin7-á1-ji̍t bô7 khì2 bô7 iàu2-kín.,今仔日無去無要緊.,It's all right if we don't go today.
16,"Lāi-bīn chīn joa̍h, gōa-bīn khah liâng.","Lāi3-bīn chīn3 joa̍h, gōa3-bīn khah2 liâng.","內面真熱, 外面較涼.","It's very hot indoors; it's cooler outside."
16,Tâi-oân ê joa̍h-thiⁿ lóng chīn joa̍h.,Tâi7-oân ê7 joa̍h3-thiⁿ lóng1 chīn3 joa̍h.,台灣的熱天攏真熱.,Summers in Taiwan are really hot.
17,Boeh kā gín-á bé joa̍h-thiⁿ-saⁿ.,Boeh2 kā3 gín1-á bé1 joa̍h3-thiⁿ7-saⁿ.,欲共囡仔買熱天衫.,I'm going to buy summer clothes for the kids.
