number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,A-lí-san,A7-lí1-san,阿里山,阿里山,Alishan,A mountain near Chiayi (a resort area).
2,bah-suh,bah3-suh,巴士,巴士/公共汽車,bus,"Loanword from English. Measure word: tâi; pang for departure/arrival times."
3,bān,bān,慢,慢/晚/遲,slow / late,Opposite of kín.
4,chhī-lāi-chhia,chhī3-lāi3-chhia,市內車,公共汽車,city bus,"Less common in speech; from kong-kiōng-khì-chhia (公共汽車)."
5,chhia-thâu/chhia-chām,chhia7-thâu/chhia7-chām,車頭/車站,車站,train / bus station,Measure word: ê.
6,chhiò,chhiò,笑,笑,to laugh / smile / giggle / snicker / ridicule / jeer,"chhiò-chhiò = all smiles; kóng-chhiò = to tell a joke."
7,choân-phiò,choân7-phiò,全票,全票,full-fare ticket,Measure word: tiuⁿ. Opposite: pòaⁿ-phiò = half-fare ticket.
8,chòe-kīn,chòe2-kīn,最近,最近,recently / the next few days / soon,
9,chúi,chúi,水,水,water,The measure word is the container in which it is held.
10,hō·,hō·,雨,雨,rain,"loh-hō· = to rain; loh-hō·-thiⁿ = rainy weather."
11,hō·,hō·,予,得,until / so that / to cause / to effect,"Verb + hō· + Modifier construction. Tone on hō· never changes."
12,hoaⁿ-hí,hoaⁿ7-hí,歡喜,高興/歡喜,happy / glad / delight; be happy about,
13,hóe-chhia,hóe1-chhia,火車,火車,train,Measure word for departure/arrival time: pang.
14,iáu-bōe,iáu1-bōe,猶未,還沒/尚未,Verb + iáu-bōe + Modifier (action begun but not finished),
15,iàu-kín,iàu2-kín,要緊,要緊/重要,important / serious,
16,joa̍h,joa̍h,熱,熱,to be hot,Used of weather and persons (and places insofar as they affect persons).
17,joa̍h-thiⁿ,joa̍h3-thiⁿ,熱天,夏天/熱天,summer / in the summer,
18,kè-thêng-chhia,kè2-thêng7-chhia,計程車,計程車,taxi,Measure word: tâi.
19,khah,khah,較,較,to be likely to / be more likely to,Negative: khah bē.
20,khiā,khiā,徛,站/立,to stand,
21,kín,kín,緊,快,fast,Opposite of bān (No. 3).
22,Ko-sok-kong-lō·,Ko7-sok2-kong7-lō·,高速公路,高速公路,Freeway,"Lit., high-speed public road. Measure word: tiâu."
23,kôaⁿ,kôaⁿ,寒,冷/寒,cold / wintry,Used only of weather/persons.
24,kôaⁿ-thiⁿ,kôaⁿ7-thiⁿ,寒天,冬天,winter,
25,kú,kú,久,久,long (in time),
26,lâi...khì,lâi...khì,來...去,來...去,Verb + lâi (+ Verb) + khì → back and forth / around and about,
27,léng,léng,冷,冷,cold,"Used of things/weather. léng-kún-chúi = cool boiled water (for drinking)."
28,liáu,liáu,了,了/完/得,finished,
29,pang,pang,班,班,run / trip (of bus / train / ship / airplane),"āu pang = next trip; àm-pang-chhia = last (evening) trip; chá-pang-chhia = first (early) trip."
30,phiò,phiò,票,票,ticket,Measure word: tiuⁿ. chhia-phiò = transit ticket; bé-phiò = to buy a ticket.
31,phó·-thong-chhia,phó·1-thong7-chhia,普通車,普通車,local train / local bus,As distinguished from express
32,sé-seng-khu-keng/sé-e̍k-keng/e̍k-keng-á,sé1-seng7-khu7-keng/sé1-e̍k3-keng/e̍k3-keng7-á,洗身軀間/洗浴間/浴間仔,浴室/洗澡間,bathroom,"sé = to wash; e̍k = to bathe. Measure word: keng."
33,seng-khu,seng7-khu,身軀,身體,body (human / animal),Measure word: ê.
34,sio,sio,燒,熱,hot / warm,Used of things / body / parts of body. sio-chúi = hot water.
35,sio-joa̍h,sio7-joa̍h,燒熱,溫暖,(of weather) warm,Not used during the summer season.
36,siōng/chòe,siōng/chòe,上/最,最/上,most (sign of superlative),
37,si̍t-chāi,si̍t-chāi,實在,實在,really / truly; real / true / honest,
38,siuⁿ,siuⁿ,傷,過於/太,excessively / too,
39,sui-jiân,sui7-jiân,雖然,雖然,although,
40,ta̍k,ta̍k,逐,各,each / every,ta̍k-ji̍t = every day.
41,teh-boeh,teh2-boeh,咧欲,快要/將要,be about to / be going to / be on the point of,"Usually followed by ""a"" except when ""ê-sî"" follows. Tone of ""a"" follows the 1-3-7 rule."
42,thang/thang-á/thang-hó/thang-lâi,thang/thang7-á/thang7-hó/thang7-lâi,通,可以/可,for / in order that / in order to,Introduces a purpose clause or phrase which modifies a preceding noun.
43,thiⁿ-khì,thiⁿ7-khì,天氣,天氣,weather,"hó-thiⁿ frequently means ""sunny day""."
44,ti̍t-ta̍t-chhia,ti̍t3-ta̍t3-chhia,直達車,直達車,express bus,"Fewer stops than the local but slower than special buses; no reserved seats."
45,tiuⁿ,tiuⁿ,張,張,measure word for paper / tickets / cards / etc.,
