vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Lí iáu ū a-kong bô·?,Lí1 iáu1 ū3 a7-kong bô·3?,你猶有阿公無?,Is your grandfather living (lit. do you still have a grandfather)?
1,Góa cha̍p hòe góan a-kong tō bô-tī-lē a.,Góa1 cha̍p3 hòe góan1 a7-kong tō3 bô7-tī-lē a7.,我十歲阮阿公就無佇咧矣.,My grandfather passed away when I was 10.
1,"Ū, góan a-kong peh-cha̍p gōa hòe a.","Ū, góan1 a7-kong peh2-cha̍p3-gōa3 hòe a3.","有, 阮阿公八十外歲矣.",Yes, my grandfather is over 80.
2,A-má lóng chin thiàⁿ sun-á.,A7-má lóng1 chin7 thiàⁿ2 sun7-á.,阿媽攏真疼孫仔.,All grandmothers love their grandchildren.
2,Góan a-má pí góan a-kong khah chē hòe.,Góan1 a7-má pí1 góan1 a7-kong khah2 chē3 hòe.,阮阿媽比阮阿公較濟歲.,My grandmother is older than my grandfather.
3,Chit téng bîn-chhn̂g chin sè.,Chit2 téng1 bîn7-chhn̂g chin7 sè.,這頂眠床真細.,This bed is very small.
3,Lí ê ê tī bîn-chhn̂g-kha.,Lí1 ê7 ê tī3 bîn7-chhn̂g7-kha.,你的鞋佇眠床跤.,Your shoes are under the bed.
4,Che bô· kah lōa hó-chia̍h.,Che bô·7 kah2 lōa3 hó1-chia̍h.,這無甲偌好食.,This doesn't taste very good.
4,Chit niá saⁿ bē lōa pháiⁿ-khòaⁿ.,Chit2 niá1 saⁿ bē3 lōa3 pháiⁿ1-khòaⁿ.,這領衫袂偌歹看.,This garment is not so bad-looking.
5,"Chhùi teh thiàⁿ, bô ài chia̍h.","Chhùi teh2 thiàⁿ, bô7 ài2 chia̍h.","喙咧疼, 無愛食.",My teeth hurt; I don't want to eat.
5,"Hó-chhùi kā i kóng nā m̄ thiaⁿ, tio̍h-ài iōng phah-ê.","Hó1-chhùi kā3 i7 kóng nā3 m̄3 thiaⁿ, tio̍h3-ài2 iōng3 phah-ê3.","好喙共伊講若毋聽, 著愛用拍的.",If you tell him (a child) nicely and he won't listen, you have to hit him.
