number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,àm,àm,暗,暗/晚,dark / late at night,àm-àm = somewhat dark / pretty late.
2,bē-su,bē3-su,袂輸,不亞於/有如,not inferior to / no less than / like,khah su = inferior to (in some quality).
3,bóng,bóng,罔,姑且/將就,"to content oneself with / do in a half-hearted, aimless way","bóng-kóng = just try to say it / talk at random; bóng-khì = might as well go."
4,chhiat,chhiat,切,切/開關,"to slice / cut into pieces; (of a switch) turn on or off by rotating","Distinct from chūn. chhiat-sit / chhiat-hoa = turn off."
5,chhiùⁿ,chhiùⁿ,唱,唱,to sing,chhiùⁿ-koa = sing a song.
6,chiat-bo̍k,chiat2-bo̍k,節目,節目,program / items on a program; plans (for the day / a date),
7,chūn,chūn,捘,旋轉/扭,to turn / turn on (by rotating around a center) / to wring / twist,"Distinguish from chhiat. Used for radios, watches, faucets, wringing laundry."
8,hoa/sit,hoa/sit,化/熄,熄/滅,to go out / die out (as light or fire),Often used as enclitic with verb. Used for appliances such as radio / TV.
9,hoân-ló,hoân7-ló,煩惱,煩惱/操心,to worry / be anxious / be uneasy,
10,hòng-sim/an-sim,hòng2-sim/an7-sim,放心/安心,放心/安心,to feel at ease / have peace of mind / be free from anxiety,
11,í-gōa,í1-gōa,以外,以外/此外,except / outside of / besides,Noun + í-gōa = besides / except for (that noun).
12,í-hā,í1-hā,以下,以下,less than / below / under,
13,í-lāi,í1-lāi,以內,以內,within,Often of time or quantity.
14,í-siōng,í1-siōng,以上,以上,more than / above / over,
15,iâⁿ,iâⁿ,贏,贏,to win / gain a victory / to defeat / excel,khah ... iâⁿ = to be superior to. Opposite: su.
16,-iâⁿ,-iâⁿ,贏,得/不得,"Verb + ē / bē + iâⁿ — can / cannot (carry, hold, manage) + Verb",Capacity / endurance construction. See Gram. Note 1B (p.369).
17,im-ga̍k,im7-ga̍k,音樂,音樂,music,
18,ji̍t-kong-teng,ji̍t3-kong7-teng,日光燈,日光燈,fluorescent lamp,Measure word: ki / pha.
19,-liáu,-liáu,了,得了/不了,Verb + ē / bē + liáu — able / unable to (finish / handle) + Verb,See Gram. Note 1A.
20,ke,ke,加,加/多,add / increase / additional / too much / too many / more / plus,ke chi̍t ê = one more.
21,ke-kiám,ke7-kiám,加減,多多少少/至少,more or less / as much as possible / at least,
22,khai-koan/súi-chih,khai7-koan/súi1-chih,開關,開關,switch (electrical),"Lit. ""open-shut"". súi-chih is loanword from Japanese ""suicchi""."
23,kiám,kiám,減,少/減,to lessen / diminish / decrease / subtract / be missing,Opposite of ke.
24,kiû,kiû,球,球,ball,"Measure word: lia̍p. phah-kiû = play ball; bāng-kiû = tennis; nâ-kiû = basketball; pâi-kiû = volleyball; pâng-kiû = ping-pong; toh-kiû / phin-phóng = table tennis."
25,kng,kng,光,光/亮,light / bright / brightness,kng-kng = rather bright (of light).
26,koa,koa,歌,歌,song,"Measure word: tiâu. liû-hêng-koa = popular song; kok-koa = national anthem."
27,liáu,liáu,了,虧/損,to lose / waste (money),"Distinct from completion marker liáu. liáu-chîⁿ = lose money; liáu sî-kan = waste time."
28,lō͘-ēng/lō·-iōng,lō͘3-ēng/lō·3-iōng,用/路用,有用,to be useful,bô lō͘-ēng / bô lō·-iōng = useless.
29,lú,lú,愈,愈/越,all the more,Comparative intensifier. Often used twice (see #30).
30,lú ... lú ...,lú ... lú ...,愈...愈...,越...越...,the more ... the more ...,lú lâi lú ... = as time goes on / more and more.
31,ōaⁿ,ōaⁿ,換,換,to replace / exchange / change,Often means 'replace' (one thing with another) rather than alter.
32,pêⁿ,pêⁿ,平,平/一樣/同樣,level / even / smooth / equal / equally,"Variants: pîⁿ / pê· / pî·."
33,pí-sài,pí1-sài,比賽,比賽,contest / game / tournament; to take part in a contest,
34,seng-oa̍h,seng7-oa̍h,生活,生活,"livelihood (food, clothing, shelter — daily living)","Distinct from sêng-mēng / éng-oa̍h = eternal / mortal life (Christian usage)."
35,sit-tiān,sit2-tiān,失電,停電,the electricity goes off / power failure,Unintended power loss. Contrast thêng-tiān (intentional shutoff).
36,sòaⁿ,sòaⁿ,線,線,thread / line / wire,"Measure word: tiâu. tiān-sòaⁿ = electric wire; pó-hiám-sòaⁿ = fuse wire."
37,soah,soah,煞,竟然/怎麼,(particle) — often indicates contrast / statement of unexpected happening,"Often expresses surprise or ridicule. Distinguish from soah = ""finish"" in Ls. 19."
38,su,su,輸,輸,to lose (a contest or any competition),Verb + su = lose (in the competition indicated by the verb). Opposite: iâⁿ.
39,su-iâⁿ/sio-su,su7-iâⁿ/sio7-su,輸贏/相輸,輸贏/打賭,to bet,
40,sūn-kiâⁿ,sūn3-kiâⁿ,順行,慢走,have a safe and pleasant trip,"Said to someone leaving the speaker's home. Reply: ū sî-kan chiah koh lâi (""come again when you have time"")."
41,tek-khak,tek2-khak,的確,的確/一定,certainly / definitely,Generally synonymous with it-tēng.
42,thêng-tiān,thêng7-tiān,停電,停電,to cut off the power supply,Intentional shutoff by the power company. Contrast sit-tiān.
43,tiám,tiám,點,點/開,to light / kindle / switch on,tiám tiān-hóe = turn on the light.
44,tiān,tiān,電,電,electricity,"sio-phah-tiān = short circuit; hō· tiān tiān-tio̍h = to get an electric shock."
45,tiān-hóe,tiān3-hóe,電火,電燈,electric light / lamps,"Measure word: pha. tiān-hóe khai-koan = light switch."
46,tiān-kiû-á,tiān3-kiû7-á,電球,燈泡,electric bulb,"Measure word: lia̍p. Variants: tiān-kiû-á. chek = watts."
47,tn̄g,tn̄g,斷,斷,to break / sever (as a stick or thread),Usually for something with measure word ki or tiâu.
48,to̍h,to̍h,著,亮/燃,to blaze / be burning / (of light) go on / be on,tiān-hóe toh = the light is on.
49,ū-tàng,ū3-tàng,有當,有地方可,there is (are) place(s) where (a given action can be performed),See Gram. Note 2 (p.369). Counterpart: bô-tàng.
50,ūi-tio̍h,ūi3-tio̍h,為著,為了,because of / on account of,
51,ūn-tōng,ūn3-tōng,運動,運動,athletics / sports / to take physical exercise,
