number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,a-hiaⁿ,a7-hiaⁿ,阿兄,哥哥/兄,older brother,"Measure Word: ê. From Mandarin ko-koh. Speaker is the 4th son; calls his 3 older brothers tōa-hiaⁿ, jī-hiaⁿ, saⁿ-hiaⁿ."
2,a-só,a7-só,阿嫂,嫂嫂,older brother's wife,"Called by the same numerical term as the husband: tōa-só, jī-só, etc."
3,āu-ji̍t,āu-ji̍t3,後日,後天,the day after tomorrow,The tone on āu does not change; ji̍t is enclitic.
4,tōa-āu-ji̍t,tōa3-āu-ji̍t3,大後日,大後天,3 days from now,
5,ba̍k-chiu,ba̍k3-chiu,目睭,眼睛,eye,Measure word: lúi.
6,bo̍k-koe,bo̍k3-koe,木瓜,木瓜,papaya,Measure Word: lia̍p.
7,chêng,chêng,前,前,front / forward / previous / former / before / ago,Used in time expressions: chêng-gō·-ji̍t = 5 days ago; tiám-chêng = hours ago.
8,chêng-gō·-ji̍t/gō·-ji̍t-chêng,chêng7-gō·3-ji̍t/gō·3-ji̍t3-chêng,前五日/五日前,五天前,5 days ago / 5 days previously,
9,chêng-kúi-ji̍t,chêng7-kúi1-ji̍t,前幾日,幾天前,several days ago / several days previously,
10,nn̄g tiám-cheng-chêng,nn̄g3 tiám1-cheng7-chêng,兩點鐘前,兩小時前,2 hours previously,tiám-chêng = hours; chêng = before/ago.
11,chhiàⁿ,chhiàⁿ,倩,雇,to employ / hire,
12,chiap,chiap,接,接,to receive / accept / meet / join / continue / answer (phone) / succeed to / follow,"With ""ē ui"" = succeed to (a position)."
13,chit-ē,chit3-ē,一下,一下,once,"Literally ""once""; used as a double enclitic to soften a verb or imply short duration."
14,chiū-sī/tō-sī,chiū3-sī/tō3-sī,就是,就是,is / namely / even if,"used for emphasis, to state a consequence, or to refer to something previously mentioned."
15,chō-ji̍t,chō-ji̍t3,前日,前天,the day before yesterday,"Book POJ: chō-ji̍t. Chō does not change tone; ji̍t is enclitic. tōa-chō-ji̍t = 3 days ago."
16,ē,ē,會,會,can (expresses capacity / capability),Interior capability of performing specified actions. Negative: bē.
17,ē-ēng-tit/ē-sái-tit/ē-iōng-tit,ē3-ēng-tit3/ē3-sái-tit3/ē3-iōng-tit3,會用得/會使得/會用得,可以,it's O.K. / may (have permission); usable,"At end of phrase/clause/sentence, tit is enclitic and the preceding word (ēng/sái/iōng) does not change tone. Negative: change ē to bē."
18,hiaⁿ-tī,hiaⁿ7-tī,兄弟,兄弟,brothers,Lit. older and younger brother. Measure Word: ê.
19,hō/hō-bé/hō-má,hō/hō3-bé/hō3-má,號/號碼,號/號碼,number (for identification),
20,hō·,hō·,予,被,passive marker: hō· + Agent + Verb — the subject receives the action performed by the agent,
21,io̍h-á/io̍h,io̍h-á/io̍h,藥仔/藥,藥,medicine / remedy / drug,Includes things like rat poison. Measure determined by the form of the medicine.
22,it/jī/sam/sù/ngó·/lio̍k/chhit/pat/kiú/si̍p/lêng,it/jī/sam/sù/ngó·/lio̍k/chhit/pat/kiú/si̍p/lêng,一/二/三/四/五/六/七/八/九/十/零,一/二/三/四/五/六/七/八/九/十/零,literary readings of the numbers 1–10 and zero,"Used in phone numbers, years, and other identification terms. khòng = alternative for zero. lio̍k (6) and si̍p (10) are tone 8."
23,it,it,一,一,one,"Literary reading; used in phone numbers, years, and identification. Cf. colloquial chi̍t."
24,jī,jī,二,二,two,Literary reading. Cf. colloquial nn̄g.
25,sam,sam,三,三,three,Literary reading. Cf. colloquial saⁿ.
26,sù,sù,四,四,four,Literary reading. Cf. colloquial sì.
27,ngó·,ngó·,五,五,five,Literary reading. Cf. colloquial gō·.
28,lio̍k,lio̍k,六,六,six,Literary reading (tone 8). Cf. colloquial la̍k.
29,chhit,chhit,七,七,seven,Literary reading. Cf. colloquial chhit.
30,pat,pat,八,八,eight,Literary reading. Cf. colloquial peh/poeh.
31,kiú,kiú,九,九,nine,Literary reading. Cf. colloquial káu.
32,si̍p,si̍p,十,十,ten,Literary reading (tone 8). Cf. colloquial cha̍p.
33,lêng,lêng,零,零,zero,Literary reading.
34,khòng,khòng,空,零,zero,Alternative reading for zero.
35,kā,kā,共,向/替/給,object marker: kā + Verb marks the verb's direct object,"Without change of tone. Substitutes for kā i (the ""i"" = him/her/it), like an English direct/indirect object."
36,kang,kang,工/日,工/日,labor / a day's work; a day,"Used of manual / blue-collar work, not white-collar; but often means an ordinary ""day"" = ji̍t."
37,chò kang,chò2 kang,做工,做工,to do work / to work (manual labor),
38,kang-chîⁿ,kang7-chîⁿ,工錢,工資,the amount of pay for the work done,
39,kang-lâng,kang7-lâng,工人,工人,laborer / workman,
40,lí-kang,lí1-kang,女工,女工,female laborer,
41,cha-po·-kang,cha7-po·7-kang,查埔工,男工,male laborer,
42,kang-tiûⁿ/kang-chhiúⁿ/kang-chhiáng,kang7-tiûⁿ/kang7-chhiúⁿ/kang7-chhiáng,工場/工廠/工廠,工廠,factory,Measure Word: keng / ê.
43,khui kang-tiûⁿ,khui7 kang7-tiûⁿ,開工場,開工廠,open a factory / run a factory,
44,tòa kang-tiûⁿ,tòa2 kang7-tiûⁿ,蹛工場,在工廠工作,work in a factory,
45,khang-khòe,khang7-khòe,工課,工作,work / job / task,Measure Word: hāng.
46,chò khang-khòe,chò2 khang7-khòe,做工課,做工作,to work (any kind of work, including manual labor),
47,-khì,-khì,去,去掉,Verb + khì — expresses the loss of something caused by the action of the verb,The tones on the verb and on -khì do not change.
48,khì-hō·,khì2-hō·,去予,被……了,khì-hō· + Agent + Verb + khì — the agent goes and does (the verb) to the subject (adversative passive),The tones on the verb and on the following khì do not change.
49,khòaⁿ-chò,khòaⁿ2-chò,看做,看作/認為,regard as / consider as / treat as,Usually mistakenly.
50,khòaⁿ-kìⁿ/khòaⁿ-tio̍h,khòaⁿ-kìⁿ/khòaⁿ-tio̍h3,看見/看著,看見/看到,to see / happen to see / get to see,"At end of phrase/clause/sentence, -kìⁿ and -tio̍h are enclitic."
51,khòaⁿ-ū,khòaⁿ2-ū,看有,看得懂/看得見,to see and understand / read and understand,Opposite: khòaⁿ-bô.
52,khòaⁿ-bô,khòaⁿ2-bô,看無,看不懂,see/read but not understand / not able to make out clearly,
53,kiáⁿ,kiáⁿ,囝,孩子/兒子,son / daughter / offspring,Measure Word: ê.
54,cha-po·-kiáⁿ,cha7-po·7-kiáⁿ,查埔囝,兒子,son,
55,hāu-seⁿ,hāu3-seⁿ,後生,兒子,son,
56,hāu-siⁿ,hāu3-siⁿ,後生,兒子,son,Variant of hāu-seⁿ.
57,cha-bó·-kiáⁿ,cha7-bó·1-kiáⁿ,查某囝,女兒,daughter,
58,cha-á-kiáⁿ,cha7-á1-kiáⁿ,查仔囝,女兒,daughter,Variant.
59,kin-nî,kin7-nî,今年,今年,this year,
60,ko-tiong,ko7-tiong,高中,高中,high school,Lit. upper middle. Measure Word: ê/keng. ko-it = 1st year (10th grade).
61,kò·-sū/kó·,kò·2-sū/kó·,故事/古,故事,story,Measure Word: tiâu. kóng kò·-sū / kóng kó· = tell a story.
62,kóng kò·-sū/kóng kó·,kóng1 kò·2-sū/kóng1 kó·,講故事/講古,講故事,to tell a story,
63,kok-tiong/chho·-tiong/kok-bîn-tiong-ha̍k,kok2-tiong/chho·7-tiong/kok2-bîn7-tiong7-ha̍k,國中/初中/國民中學,國民中學,junior high school,Lit. national / initial / citizens middle school. Measure Word: keng/ê.
64,kū-nî,kū3-nî,舊年,去年,last year,
65,kùi-sū,kùi2-sū,貴事,貴事,honorable matter (concern / business),"Chhiáⁿ mn̄g, ū sím-mih kùi-sū? = May I help you?"
66,mē/mā,mē/mā,罵,罵/吵架,scold / curse; quarrel,
67,mê-nî,mê7-nî,明年,明年,next year,
68,pa̍t,pa̍t,別,別,other / another,Prefix: pa̍t-ji̍t = another day; pa̍t khoán = another kind.
69,phah,phah,拍,打,to strike / beat / hit / play (ball),
70,sio,sio,相,相/互相,mutual / reciprocal (verb prefix),sio-bat = know each other; sio-phah = fight; sio-mē = quarrel; sio-chài = give each other a ride.
71,sio-bat,sio7-bat,相捌,互相認識,to know each other,
72,sio-mē,sio7-mē,相罵,吵架,to quarrel,
73,sio-phah,sio7-phah,相拍,打架,to fight,
74,sio-chài,sio7-chài,相載,互相載送,to give each other a ride,
75,sió-tī,sió1-tī,小弟,弟弟,younger brother,Measure Word: ê. tē-hū = younger brother's wife.
76,tē-hū,tē3-hū,弟婦,弟媳,younger brother's wife,
77,tán/tán-hāu/thèng-hāu,tán/tán1-hāu/thèng2-hāu,等/等候/聽候,等/等候,to wait / wait for,
78,sio-tán,sio7-tán,相等,互相等候,to wait for each other / meet,
79,tán-ū,tán1-ū,等有,等到,to wait for one who eventually shows up,
80,tán-bô,tán1-bô,等無,等不到,to wait for one in vain,
81,tán-kah-ū,tán1-kah2-ū,等甲有,等到他出現,to wait for one until he shows up,
82,thiàⁿ,thiàⁿ,疼,痛/疼,ache painfully / sore; to love,Used of the love of a superior for an inferior.
83,thong,thong,通,通,go / flow through; get through; passable; understand,"Also ""well-constructed"" (of a sentence)."
84,tiān-ōe,tiān3-ōe,電話,電話,telephone,Lit. electric words. Measure Word: ki.
85,tiong-ha̍k/tiong-o̍h,tiong7-ha̍k/tiong7-o̍h,中學,中學,middle school,"Junior high or high school or both (between elementary and university). For high school specifically, say ko-tiong. Measure Word: keng/ê."
86,tú/tú-tú,tú/tú1-tú,拄/拄拄,剛/恰巧,just (at that moment) / just happen to,
