number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,a-kong,a7-kong,阿公,祖父/爺爺,grandfather,
2,a-má,a7-má,阿媽,祖母/奶奶,grandmother,
3,bîn-chhn̂g,bîn7-chhn̂g,眠床,床,bed,Measure Word: téng.
4,bô· lōa/bē lōa,bô·7 lōa/bē3 lōa,無偌/袂偌,不太/不怎麼,not very,"Synonymous with bô· sím-mih / bē sím-mih. ""bô·"" pairs with hó-chia̍h; ""bē"" pairs with pháiⁿ-khòaⁿ."
5,chhùi,chhùi,喙,嘴,mouth / spout / nozzle,Measure Word: ê.
6,hó-chhùi,hó1-chhùi,好喙,好言相勸,to talk in a friendly way (out of good will),
7,pháiⁿ-chhùi,pháiⁿ1-chhùi,歹喙,口德差/惡言,to have a vicious tongue / be foul-mouthed,
8,sé-chhùi,sé1-chhùi,洗喙,刷牙,to brush the teeth,
9,chhùi-ta,chhùi2-ta,喙焦,口渴,thirsty,
10,chhut-īⁿ,chhut2-īⁿ,出院,出院,to be discharged from the hospital,
11,chi̍t-sut-á/tām-po̍h-á/chi̍t-tiám-á,chi̍t3-sut2-á/tām3-po̍h-á/chi̍t3-tiám1-á,一屑仔/淡薄仔/一點仔,一點點,a little,
12,heh,heh,嘿,啊（語助詞）,(sentence-final particle of advice / admonition / warning),Used with friends or family members.
13,hî/hî-á,hî/hî7-á,魚/魚仔,魚,fish,Measure Word: bóe.
14,hīⁿ-á,hīⁿ-á,耳仔,耳朵,ear,Measure Word: ê; (pair) tùi.
15,hō·-sū,hō·3-sū,護士,護士,nurse,Measure Word: ê.
16,í-āu,í1-āu,以後,以後,after / afterwards / later on / from (a time) on,Not directly attached to a verb; frequently used with a time phrase. When attached to certain time phrases the í may be dropped.
17,í-chêng,í1-chêng,以前,以前,before / previously / (after a time phrase) ago,The word before í does not change tone. Before a verb it means formerly/previously. After a time phrase the í may be dropped.
18,i-seng/i-su,i7-seng/i7-su,醫生/醫師,醫生,medical doctor,Measure Word: ūi / ê. i-seng is not usually used with a surname or in direct address.
19,sian-siⁿ-niû,sian7-siⁿ7-niû,先生娘,醫生太太/師母,doctor's wife,Also used in direct address.
20,ji̍p-īⁿ,ji̍p3-īⁿ,入院,住院,to enter the hospital (become an in-patient),
21,tòa-īⁿ/teh ji̍p-īⁿ/teh tòa-īⁿ,tòa2-īⁿ/teh2 ji̍p3-īⁿ/teh2 tòa2-īⁿ,蹛院,住院（住院中）,to be in a hospital (as an in-patient),
22,kah,kah,蓋,蓋（被）,to cover oneself (with a blanket or quilt to keep warm),
23,kám-mō·,kám1-mō·,感冒,感冒,a cold / to catch cold,
24,kāng-khóan/kāng,kāng3-khóan/kāng,仝款/仝,一樣/同樣,the same / the same kind,
25,kàu/kàu-gia̍h,kàu/kàu2-gia̍h,夠/夠額,夠/足夠,enough / sufficient,Negative: bô kàu / bô kàu-gia̍h.
26,khǹg/hē,khǹg/hē,囥/下,放/擺,to put / to place,khǹg/hē tòa: used of the future and in commands/requests; otherwise use khǹg/hē tī.
27,kò·,kò·,顧,顧,to care for / watch / attend to,
28,koh-khah,koh2-khah,閣較,更/較,still (+ comparative) / (sign of the comparative),
29,koh-khah súi,koh2-khah2-súi,閣較媠,更漂亮,still more beautiful,
30,kôaⁿ-tio̍h,kôaⁿ-tio̍h3,寒著,著涼,to catch cold,When kám-mō· is used as a verb it is synonymous with kôaⁿ-tio̍h.
31,lán,lán,𤺅,疲倦,weary,Most often means being mentally tired of it all because of physical weariness. Compare siān (#49) and thiám (#61).
32,lāu,lāu,老,老,old,
33,lāu-lâng/lāu-hòe-á,lāu3-lâng/lāu3-hòe2-á,老人/老歲仔,老人,old person,Measure Word: ê.
34,lè,lè,咧,語助詞,particle after a word/phrase to indicate a command / request / reprimand,
35,m̄-tio̍h,m̄3-tio̍h,毋著,弄錯,to err in respect to the object (Verb + m̄-tio̍h + Noun),at times the noun is omitted.
36,niáu-chhí,niáu1-chhí,鳥鼠,老鼠,rat / mouse,Measure Word: chiah.
37,pang-bâng/pang-chō·,pang7-bâng/pang7-chō·,幫忙/幫助,幫忙/幫助,help (noun and verb),pang-bâng and pang-chō· are generally interchangeable.
38,pēⁿ/pīⁿ,pēⁿ/pīⁿ,病,病/疾病,sickness / illness / disease,
39,pēⁿ-īⁿ/pīⁿ-īⁿ,pēⁿ3-īⁿ/pīⁿ3-īⁿ,病院,醫院,hospital,Measure Word: keng.
40,phâng,phâng,捀,端,to carry an object with both hands / to hold a container of food or drink,
