vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,àm-àm,àm2-àm,暗暗,somewhat dark / pretty late.
1,"Góa cha-hng chin àm chiah khùn, chím-á chin ài-khùn.","Góa1 cha7-hng chin7 àm chiah khùn, chím1-á chin7 ài2-khùn.","我昨昏遐睏暫仔真暗暗, 這馬真愛睏.","I didn't get to sleep till late last night; now I'm really sleepy."
1,"Lí khiā tòa hia àm-àm, góa khòaⁿ-bô.","Lí1 khiā3 tòa2 hia àm2-àm, góa1 khòaⁿ2-bô.","你徛蹛遐暗暗, 我看無.","It's dark there where you're standing; I didn't see you."
2,khah su,khah2 su,較輸,to be inferior to (in some quality).
2,Chit ê ha̍k-seng bē-su pa̍t lâng.,Chit2 ê7 ha̍k3-seng bē3-su7 pa̍t3 lâng.,這个學生袂輸別人.,This student is not inferior to anybody else in some quality.
2,Góa ê o·-thó·-bái bē-su i ê, lóng i teh khiâ khah chē,Góa1 ê7 o·7-thó·1-bái bē3-su7 i7 ê, lóng1 i7 teh2 khiâ khah2 chē,我的烏托拜伊若是家己的,"lóng tī teh khiâ khah-su. (continued) My motorcycle is just as if it were his, he's riding it most of the time."
2,Chit khoán ê chhia khah su hit khoán-ê.,Chit2 khoán ê7 chhia khah2 su7 hit2 khoán-ê3.,這款的車較輸彼款的.,This kind of car is inferior to that kind.
3,bóng-kóng,bóng1-kóng,罔講,to talk at random / idle jesting / half-joking / just try to say it.
3,bóng-khì,bóng1-khì,罔去,tolerable but not very good — but may do; might as well go.
3,Hit hāng tāi-chì lí kā góa kóng.,Hit2 hāng3 tāi3-chì lí1 kā3 góa1 kóng.,彼項代誌你共我講.,Please tell me about that matter.
3,Góa bē-hiáu kóng.,Góa1 bē3-hiáu1 kóng.,我袂曉講.,I don't know how to say it.
3,"Bô iàu-kín, bóng-kóng khòaⁿ-bāi-lè.","Bô7 iàu2-kín, bóng1-kóng khòaⁿ2-bāi-lè.","無要緊, 罔講看覓咧.","That's all right, just try to say it."
3,"Hit hāng tāi-chì sī si̍t-chāi-ê, m̄-sī góa bóng-kóng-ê.","Hit2 hāng3 tāi3-chì sī3 si̍t3-chāi ê7, m̄3-sī3 góa1 bóng1-kóng ê3.","彼項代誌是實在的, 毋是我罔講的.",That's a true story; I didn't make it up.
3,Lín kiáⁿ tī hit keng kang-tiûⁿ teh chò hó bô·?,Lín1 kiáⁿ tī3 hit2 keng7 kang7-tiûⁿ teh2 chò hó bô·3?,恁囝佇彼間工場咧做有好無?,Does your son like working in that factory?
3,Bóng-khì là. ,Bóng1-khì là.,罔去啦.,For now it's all right — no place else to work.
3,"Hán-tit-tang-sî lâng boeh chhōa lí khì chhit-thô, bóng-khì là.","Hán1-tit2-tang7-sî lâng7 boeh2 chhōa3 lí1 khì2 chhit2-thô, bóng1-khì là.","罕得當是人欲𤆬你去𨑨迌, 罔去啦.",It's seldom that anyone will take you out for some fun — you might as well go.
4,chhiat bah / chhiat chhài,chhiat2 bah / chhiat2 chhài,切肉/切菜,to cut meat / vegetables.
4,"Hiah ê bah chhiat-chhiat-lè, khah khoài chú.","Hiah2 bah chhiat2-chhiat-lè, khah2 khoài2 chú.","遐肉切切咧, 較快煮.",Slice the meat and it'll be easier to cook.
4,Hit pha chhiáⁿ lí chhiat hō· to̍h.,Hit2 pha chhiáⁿ lí1 chhiat2 hō· to̍h.,彼葩車火你切予著.,Please turn that light on.
4,chhiat-sit / chhiat-hoa,chhiat-sit3 / chhiat-hoa3,切熄/切化,to turn off.
4,Chit pha boeh tùi toh-ūi chhiat?,Chit2 pha boeh2 tùi2 toh2-ūi chhiat?,這葩欲對佗位切?,Where do you turn this light on?
4,Tī mn̂g-nih ê piⁿ-á hia.,Tī3 mn̂g-nih ê7 piⁿ7-á hia.,佇門裡的邊仔遐.,There by the door.
5,chhiùⁿ-koa,chhiùⁿ2-koa,唱歌,sing / sing a song.
5,Chit tiâu koa lí ē-hiáu chhiùⁿ bē?,Chit2 tiâu7 koa lí1 ē3-hiáu1 chhiùⁿ bē3?,這條歌你會曉唱袂?,Can you sing this song?
5,Lâng nā hoaⁿ-hí ē khah ài chhiùⁿ-koa.,Lâng7 nā3 hoaⁿ7-hí ē3 khah2 ài2 chhiùⁿ2-koa.,人若歡喜會較愛唱歌.,People like to sing a lot more when they're happy.
6,Pài-la̍k àm tiān-sī ê chiat-bo̍k siōng hó.,Pài3-la̍k àm tiān3-sī ê7 chiat2-bo̍k siōng3 hó.,拜六暗電視的節目上好.,The best TV programs are on Saturday night.
6,"Eng-àm lí ū sím-mih chiat-bo̍k bô·? Nā bô, lán lâi-khì Áng Sió-chiá hia kiâⁿ-kiâⁿ-lè.","Eng7-àm lí1 ū3 sím1-mih chiat2-bo̍k bô·3? Nā3 bô, lán1 lâi7-khì2 Áng7 Sió1-chiá hia kiâⁿ7-kiâⁿ-lè.","暗暝你有啥物節目無? 若無, 咱來去洪小姐遐看看咧.","Do you have anything on tonight? If not, let's go to Miss Áng's for a visit."
7,Chūn siu-im-ki lâi thiaⁿ.,Chūn3 siu7-im7-ki lâi7 thiaⁿ.,捘收音機來聽.,Turn on the radio.
7,Chhiáⁿ lí chūn-sit.,Chhiáⁿ1 lí1 chūn-sit3.,請你捘熄.,Please turn it off.
7,"Saⁿ nā sé hó, ài chūn hō· ta.","Saⁿ nā3 sé1 hó, ài2 chūn3 hō· ta.","衫若洗好, 愛捘予焦.",After the clothes are washed you have to wring them out.
8,Tiān-hóe hoa-khì (sit-khì); m̄-chai sī tiān-kiû-á hāi-khì á-sī bô tiān.,Tiān3-hóe hoa-khì (sit-khì); m̄3-chai7 sī3 tiān3-kiû7-á hāi-khì á1-sī3 bô7 tiān.,電火化去(熄去); 毋知是電球仔害去抑是無電.,The electric light went out; I don't know if it's the bulb or if the electricity went off.
8,"Lí ê hun tiám-bô-to̍h, hoa-khì a.","Lí1 ê7 hun tiám1-bô7-to̍h, hoa-khì a3.","你的薰是無點無著, 化去矣.",Your cigarette isn't lit. (It did light but went out.)
8,"Tiān-sī bô hó-khòaⁿ, chūn-sit, bó-chhái tiān.","Tiān3-sī bô7 hó1-khòaⁿ, chūn-sit3, bó1-chhái1 tiān.","電視無看, 捘化去; 罔費電.","The TV (this show) is no good, turn it off; it wastes electricity."
9,"Lí ná hiah hoân-ló? M̄-bián hoân-ló.","Lí1 ná1 hiah2 hoân7-ló? M̄3-bián1 hoân7-ló.","你若遐煩惱? 毋免煩惱.",Why are you so worried? There's no need to worry.
9,Góa ta̍k-ji̍t lóng teh hoân-ló chit ê tāi-chì.,Góa1 ta̍k3-ji̍t lóng1 teh2 hoân7-ló1 chit2 ê7 tāi3-chì.,我逐日攏咧煩惱這个代誌.,Every day I worry about this matter.
10,Chhiáⁿ lí hòng-sim.,Chhiáⁿ1 lí1 hòng2-sim.,請你放心.,Don't worry.
10,"Lí nā bô kín tńg-khì, lín pē-bú bē hòng-sim.","Lí1 nā3 bô7 kín1 tńg1-khì, lín1 pē3-bú bē3 hòng2-sim.","你若無緊轉去, 恁爸母會無放心.","If you don't hurry home, your parents won't have peace of mind."
11,í-gōa ê,í1-gōa ê7,以外的,the rest of (it).
11,Chiah ê mi̍h-kiāⁿ í-gōa lí iáu ài boeh sím-mih?,Chiah2 ê7 mi̍h3-kiāⁿ í1-gōa lí1 iáu1 ài2 boeh2 sím1-mih?,遮的物以外你愛欲啥物?,What else do you want to buy besides these things?
11,Í-gōa iáu ū sím-mih ài mn̄g bô·?,Í1-gōa iáu1 ū3 sím1-mih ài2 mn̄g bô·3?,以外猶有啥物欲問無?,Is there anything else you want to ask?
11,"Lán 5 ê lâng chē chit tâi, í-gōa ê lâng khì chē hit tâi.","Lán1 5 ê7 lâng chē3 chit2 tâi, í1-gōa ê7 lâng khì2 chē3 hit2 tâi.","咱5个人坐這台, 以外的人去坐彼台.","We 5 take this car; (you) others go take that one."
12,"Nā 10 pún í-hā, chi̍t pún ài $600; nā bé 10 pún í-siōng, chi̍t pún ài $480 niā-niā.","Nā3 10 pún í1-hā, chi̍t3 pún ài2 $600\; nā3 bé1 10 pún í1-siōng, chi̍t3 pún ài2 $480 niā3-niā.","若10本以下, 一本愛$600; 若買10本以上, 一本愛$480爾爾.","If you buy less than 10 books, each book costs $600; if you buy 10 or more, each book is $480 only."
12,"Góa kóng kàu chia, í-hā ōaⁿ lí kóng.","Góa1 kóng1 kàu2 chia, í1-hā ōaⁿ3 lí1 kóng.","我講到遮, 以下換你講.",I'll stop here; the rest is for you to talk about.
13,Chiah ê khang-khòe 2 tiám-cheng í-lāi chò-bē-liáu.,Chiah2 ê7 khang7-khòe 2 tiám1-cheng í1-lāi chò2-bē3-liáu.,遮的工課2點鐘以內做袂了.,These jobs cannot be done within 2 hours.
13,"Chit tiâu lō· chin sè-tiâu, chi̍t tiám-cheng-lāi sái-bē-kàu.","Chit2 tiâu7 lō· chin7 sè2-tiâu, chi̍t3 tiám1-cheng7-lāi sái1-bē3-kàu.","這條路真細條, 一點鐘內駛袂到.","This road is very narrow; we won't get there within an hour."
