vocab_number,poj,poj_sandhi,taiwanese_hanji,english
1,Goán a-hiaⁿ teh chò Lāu-su.,Goán1 a7-hiaⁿ teh2 chò2 Lāu3-su.,阮阿兄咧做老師.,My (Our) older brother is a teacher.
1,A-só tō-sī a-hiaⁿ ê thài-thài.,A7-só tō3-sī3 a7-hiaⁿ ê7 thài2-thài.,阿嫂就是阿兄的太太.,"""A-só"" is an older brother's wife."
3,"Kin-á-ji̍t pài-gō·, āu-ji̍t sī lé-pài.","Kin7-á1-ji̍t pài2-gō·, āu-ji̍t3 sī3 lé1-pài.","今仔日拜五, 後日是禮拜.",Today is Friday; the day after tomorrow is Sunday.
3,"Góa āu-ji̍t boeh khì Tâi-pak, bô boeh khì Ke-lâng.","Góa1 āu-ji̍t3 boeh2 khì2 Tâi7-pak, bô7 boeh2 khì2 Ke7-lâng.","我後日欲去台北, 無欲去基隆.",I'm going to Taipei the day after tomorrow; I'm not going to Keelung. (Ke-lâng: a city east of Taipei.)
3,"Góa m̄-sī āu-ji̍t boeh khì, sī tōa-āu-ji̍t chiah boeh khì.","Góa1 m̄3-sī3 āu-ji̍t3 boeh2 khì, sī3 tōa3-āu-ji̍t3 chiah2 boeh2 khì.","我毋是後日欲去, 是大後日才欲去.",I'm not going the day after tomorrow; I'm not going till the day after that (3 days from now).
5,Chit ê cha-bó·-gín-á hit nn̄g lúi ba̍k-chiu chin súi.,Chit2 ê7 cha7-bó·1-gín1-á1 hit2 nn̄g3 lúi1 ba̍k3-chiu chin7 súi.,這个查某囡仔彼兩蕊目睭真媠.,That girl's eyes are beautiful. (Note the expression "those 2 eyes".)
5,Kiâⁿ lō· (sái-chhia) ba̍k-chiu ài khòaⁿ lō·.,Kiâⁿ7 lō· (sái1-chhia) ba̍k3-chiu ài2 khòaⁿ2 lō·.,行路（駛車）目睭愛看路.,Watch where you walk (drive)/Keep your eyes on the road.
6,Chit lia̍p bo̍k-koe lí chia̍h ē liáu bē?,Chit2 lia̍p3 bo̍k3-koe lí1 chia̍h3 ē3 liáu1 bē3?,這粒木瓜你食會了袂?,Can you eat this whole papaya?/Can you finish this papaya?
7,He sī kúi ji̍t-chêng ê tāi-chì?,He sī3 kúi1 ji̍t3-chêng7 ê7 tāi3-chì?,彼是幾日前的代誌?,How many days ago did that happen?
7,He sī kúi-á ji̍t-chêng ê tāi-chì.,He sī3 kúi1-á ji̍t3-chêng7 ê7 tāi3-chì.,彼是幾仔日前的代誌.,It happened several days ago.
7,He sī chêng-kúi-ji̍t ê tāi-chì.,He sī3 chêng7-kúi1-ji̍t ê7 tāi3-chì.,彼是前幾日的代誌.,It happened several days ago.
7,Gân Sin-hū boeh lâi thak ê sì tiám-cheng-chêng chiah phah tiān-ōe lâi kóng.,Gân7 Sin7-hū boeh2 lâi7 thak3 ê7 sì2 tiám1-cheng7-chêng chiah2 phah2 tiān3-ōe lâi7 kóng.,顏神父欲來讀的四點鐘前才拍電話來講.,Just 4 hours before Fr. Gân wanted to come to study he phoned to tell me.
11,"Lán ka-tī chò, m̄-bián chhiàⁿ lâng.","Lán1 ka7-tī3 chò, m̄3-bián1 chhiàⁿ2 lâng.","咱家己做, 毋免倩人.",Let's do it ourselves; no need to hire anybody.
11,Goán a-só boeh chhiàⁿ lâng sé-saⁿ kah chú-pn̄g.,Goán1 a7-só boeh2 chhiàⁿ2 lâng7 sé1-saⁿ kah2 chú1-pn̄g.,阮阿嫂欲倩人洗衫佮煮飯.,My older brother's wife is going to hire somebody to do the laundry and cook.
12,Tiān-ōe bô lâng chiap.,Tiān3-ōe bô7 lâng7 chiap.,電話無人接.,No one is answering the phone.
12,"Góa khì chhia-thâu chiap pêng-iú, m̄-kú chiap-bô.","Góa1 khì2 chhia7-thâu chiap2 pêng7-iú, m̄3-kú1 chiap2-bô.","我去車頭接朋友, 毋過接無.",I went to the station to meet a friend but I missed him.
12,I chím-á tòa tī Sin-tek; i chiap Sím Bo̍k-su ê ūi.,I7 chím1-á tòa2 tī3 Sin7-tek; i7 chiap2 Sím Bo̍k3-su ê7 ūi.,伊這馬蹛佇新竹; 伊接沈牧師的位.,He's in Hsinchu now; he took Rev. Sím's place.
13,Lí kā i kóng-chit-ē.,Lí1 kā3 i7 kóng-chit3-ē3.,你共伊講一下.,You tell him.
13,Chhiáⁿ lín tán-chit-ē.,Chhiáⁿ1 lín1 tán-chit3-ē3.,請恁等一下.,Please wait a minute.
14,I chiū-sī Lîm Sian-siⁿ.,I7 chiū3-sī3 Lîm Sian3-siⁿ3.,伊就是林先生.,This is the (previously-mentioned) Mr. Lîm.
14,"Chit pún nā m̄-sī lí ê, chiū-sī góa ê.","Chit2 pún1 nā3 m̄3-sī3 lí1 ê, chiū3-sī3 góa1 ê.","這本若毋是你的, 就是我的.",If this book is not yours then it's mine.
14,"Pē-bó kā i kóng, i chiū-sī m̄ thiaⁿ.","Pē3-bó kā3 i7 kóng, i7 chiū3-sī3 m̄3 thiaⁿ.","爸母共伊講, 伊就是毋聽.",Even if his parents tell him something he won't listen.
15,Chō-ji̍t bé ê bo̍k-koe iáu ū bô·?,Chō-ji̍t3 bé1 ê7 bo̍k3-koe iáu1 ū3 bô·3?,前日買的木瓜猶有無?,Is there anything left of the papaya we bought the day before yesterday?
15,"I tōa-chō-ji̍t ū lâi, góa ū khòaⁿ-tio̍h.","I7 tōa3-chō-ji̍t3 ū3 lâi, góa1 ū3 khòaⁿ-tio̍h3.","伊大前日有來, 我有看著.","He came 3 days ago, I saw him."
16,Goán sió-tī ê kiáⁿ kha bē kiâⁿ.,Goán1 sió1-tī ê7 kiáⁿ kha bē3 kiâⁿ.,阮小弟的囝跤袂行.,My younger brother's child can't walk. (Not because he's too young but because of a physical problem.)
17,Lí ê thih-bé góa ē-ēng-tit khiâ bē?,Lí1 ê7 thih2-bé góa1 ē3-ēng3-tit2 khiâ bē3?,你的鐵馬我會用得騎無?,Is it all right if I ride your bike?
17,Eng-àm lí bē-sái-tit chhut-khì.,Eng7-àm lí1 bē3-sái1-tit2 chhut-khì.,今暗你袂使得出去.,You're not allowed to go out tonight.
18,Lí ū kúi ê hiaⁿ-tī?,Lí1 ū3 kúi1 ê7 hiaⁿ7-tī?,你有幾个兄弟?,How many brothers do you have?
18,Goán ū nn̄g ê hiaⁿ-tī.,Goán1 ū3 nn̄g3 ê7 hiaⁿ7-tī.,阮有兩个兄弟.,I have one brother. (Spoken by a male — two brothers in all, i.e. one besides me.)
18,In hiaⁿ-tī lóng bô tòa chò-hóe.,In7 hiaⁿ7-tī lóng1 bô7 tòa2 chò2-hóe.,𪜶兄弟攏無蹛做伙.,None of the brothers live together.
19,Lín ê tiān-ōe kúi hō?,Lín1 ê7 tiān3-ōe kúi1 hō?,恁的電話幾號?,What is your phone number?
19,Jī-jī liok-jī it-sam-sam.,Jī3-jī liok3-jī it2-sam7-sam.,二二六二一三三.,22-62-133. (For these numbers see Voc. #17.)
19,Tâi-tiong ê tit-poaⁿ-hō-bé sī kúi hō ê?,Tâi7-tiong ê7 tit3-poaⁿ2-hō3-bé sī3 kúi1 hō ê7?,台中的直撥號碼是幾號的?,"What is the Taichung area code"
19,Lêng-sù (Khòng-sù).,Lêng7-sù (Khòng2-sù).,零四（空四）.,04.
19,Lín chhù tòa tī Sam-bîn-lō· kúi hō?,Lín1 chhù tòa2 tī3 Sam7-bîn7-lō· kúi1 hō?,恁厝蹛佇三民路幾號?,"What's the number of your house on San Min Road? (""chhù"" here = ""family"".)"
19,Sam-bîn-lō· it tōaⁿ chit-pah jī-cha̍p hō.,Sam7-bîn7-lō· it2 tōaⁿ chi̍t3-pah2 jī3-cha̍p3 hō.,三民路一段一百二十號.,"120 San Min Road, Section 1."
20,Chhong-Bín hō· lâng phah.,Chhong-Bín hō·3 lâng7 phah.,創敏予人拍.,Chhong-Bín was hit by someone/Someone hit Chhong-Bín.
20,Ē hō· lâng mē.,Ē3 hō·3 lâng7 mē.,會予人罵.,(Stop that or) You'll get scolded.
21,"Che sī io̍h-á, m̄-sī thn̂g-á.","Che sī3 io̍h-á, m̄3-sī3 thn̂g7-á.","這是藥仔, 毋是糖仔.","This is medicine, not candy."
21,Chia̍h pá chiah chia̍h io̍h-á.,Chia̍h3 pá chiah2 chia̍h3 io̍h-á.,食飽才食藥仔.,Don't take the medicine until after meals.
35,Góa ū kā khòaⁿ.,Góa1 ū3 kā khòaⁿ.,我有共看.,I looked at it./I looked it/him/her over.
35,Góa bô kā the̍h.,Góa1 bô7 kā the̍h.,我無共提.,"I did not take it from him./I did not take it. (""kā"" can mean either ""it"" or ""from him"" with ""it"" understood.)"
36,I tòa hia nn̄g kang tō tńg-lâi.,I7 tòa2 hia nn̄g3 kang tō3 tńg-lâi3.,伊蹛遐兩工就轉來.,He stayed there 2 days and came home.
42,Lí tòa chit keng kang-tiûⁿ tòa lōa kú a?,Lí1 tòa2 chit2 keng7 kang7-tiûⁿ tòa2 lōa3 kú a3?,你蹛這間工場蹛偌久矣?,How long have you been in this factory?
45,Kin-á-ji̍t ū khang-khòe bô·?,Kin7-á1-ji̍t ū3 khang7-khòe bô·3?,今仔日有工課無?,Do you have any work today?/Do we have any task to do today?
47,He i chia̍h-khì ê.,He i7 chia̍h-khì ê3.,彼伊食去的.,He ate it up.
47,Góa ê o·-thó·-bái mài kā góa khiâ-khì.,Góa1 ê7 o·7-thó·1-bái mài2 kā3 góa1 khiâ-khì.,我的烏托拜莫共我騎去.,Don't ride off with my motorcycle.
48,I khì-hō· a-hiaⁿ phah-khì.,I7 khì2-hō·3 a7-hiaⁿ phah-khì.,伊去予阿兄拍去.,His older brother went and hit him.
48,Góa ê thih-bé khì-hō· lâng khiâ-khì.,Góa1 ê7 thih2-bé khì2-hō·3 lâng7 khiâ-khì.,我的鐵馬去予人騎去.,Somebody went and rode off with my bike.
49,"""Peh"" góa khòaⁿ-chò ""la̍k"".","""Peh"" góa1 khòaⁿ2-chò ""la̍k"".","「八」我看做「六」.","I thought the ""8"" was a ""6""."
49,Cha-po·-ê góa khòaⁿ-chò cha-bó·-ê.,Cha7-po·-ê7 góa1 khòaⁿ2-chò2 cha7-bó·-ê3.,查埔的我看做查某的.,I thought the boy was a girl.
50,Lí ū khòaⁿ-tio̍h góa hit pún chheh bô·?,Lí1 ū3 khòaⁿ2-tio̍h3 góa1 hit2 pún1 chheh bô·3?,你有看著我彼本冊無?,Did you see my book?
50,Chit khoán ê chhia góa iáu m̄-bat khòaⁿ-kìⁿ.,Chit2 khoán ê7 chhia góa1 iáu1 m̄3-bat2 khòaⁿ-kìⁿ.,這款的車我猶毋捌看見.,I've never seen this type of vehicle.
51,Chit pún chheh lí khòaⁿ-ū bô·?,Chit2 pún1 chheh lí1 khòaⁿ2-ū bô·3?,這本冊你看有無?,Do you understand this book?
51,"Lí siá hiah sè jī, góa khòaⁿ-bô.","Lí1 siá1 hiah2 sè2 jī, góa1 khòaⁿ2-bô.","你寫遐細字, 我看無.",You wrote so small I can't make out what you wrote.
53,In hāu-seⁿ teh chò Lāu-su.,In7 hāu3-seⁿ teh2 chò2 Lāu3-su.,𪜶後生咧做老師.,Their son is a teacher.
53,Góa ê cha-bó·-kiáⁿ teh tòa kang-tiûⁿ.,Góa1 ê7 cha7-bó·1-kiáⁿ teh2 tòa2 kang7-tiûⁿ.,我的查某囝咧蹛工場.,My daughter is in a factory.
59,Lí kin-nî ko-tiong kúi nî-ê?,Lí1 kin7-nî ko7-tiong kúi1 nî-ê7?,你今年高中幾年的?,What year of high school are you in this year?
60,I teh tha̍k ko-it-ê.,I7 teh2 tha̍k3 ko7-it-ê3.,伊咧讀高一的.,He is in 1st year of high school (10th grade).
60,Lí tī toh-ūi tha̍k ko-tiong?,Lí1 tī3 toh2-ūi tha̍k3 ko7-tiong?,你佇佗位讀高中?,What high school are you studying in?
61,I chin gâu kóng kò·-sū.,I7 chin7 gâu7 kóng1 kò·2-sū.,伊真𠢕講故事.,He's a great story-teller.
63,Lí boeh tha̍k toh chi̍t keng kok-tiong?,Lí1 boeh2 tha̍k3 toh2 chi̍t3 keng7 kok2-tiong?,你欲讀佗一間國中?,Which junior high school will you study in?
64,Che sī kū-nî bé-ê.,Che sī3 kū3-nî bé-ê3.,這是舊年買的.,This was bought last year.
64,Góa kū-nî bat khì chi̍t pái.,Góa1 kū3-nî bat2 khì2 chi̍t3 pái.,我舊年捌去一擺.,I went once last year.
65,"Chhiáⁿ mn̄g, ū sím-mih kùi-sū?","Chhiáⁿ1 mn̄g, ū3 sím1-mih2 kùi2-sū?","請問, 有啥物貴事?","May I help you? (Lit., May I ask, do you have some honorable matter?)"
66,I hō· lâng mē.,I7 hō·3 lâng7 mē.,伊予人罵.,He got a scolding.
66,Mài kā lâng mē.,Mài2 kā3 lâng7 mē.,莫共人罵.,Don't be scolding people.
67,Goán jī sió-tī mê-nî boeh bé chhia.,Goán1 jī3 sió1-tī mê7-nî boeh2 bé1 chhia.,阮二小弟明年欲買車.,Next year my second younger brother will buy a car.
67,Mê-nî ū kúi ê ha̍k-seng boeh lâi?,Mê7-nî ū3 kúi1 ê7 ha̍k3-seng boeh2 lâi?,明年有幾个學生欲來?,How many students are coming next year?
67,Tāi-khài bē chió.,Tāi3-khài bē3 chió.,大概袂少.,Probably quite a few.
68,Iáu ū pa̍t khoán-ê bô·?,Iáu1 ū3 pa̍t3 khoán-ê3 bô·3?,猶有別款的無?,Do you have another kind?
68,"Kin-á-ji̍t góa bô-êng; pa̍t-ji̍t, hó bô·?","Kin7-á1-ji̍t góa1 bô7-êng; pa̍t3-ji̍t, hó bô·3?","今仔日我無閒; 別日, 好無?",I'm busy today; how about another day?
68,Pa̍t-ji̍t mā hó.,Pa̍t3-ji̍t mā3 hó.,別日嘛好.,Some other day is all right too.
69,Chì-Chhiang hō· in má-mah phah.,Chì2-Chhiang hō·3 in7 má1-mah phah.,志祥予𪜶媽媽拍.,Chí-Chhiang's mother hit him.
69,"Lí kā lâng phah, sī bô·?","Lí1 kā3 lâng7 phah, sī bô·3?","你共人拍, 是無?",Did you hit someone?
69,Sī sím-mih-lâng kā phah kah án-ni?,Sī3 sím1-mih2-lâng kā3 phah2 kah2 án1-ni?,是啥物人共拍甲按呢?,Who hit him like that (to such an extent)?
