number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,âng-eⁿ-á / eⁿ-á,âng7-eⁿ7-á / eⁿ7-á,紅嬰仔 / 嬰仔,嬰兒/嬰孩,infant / baby,"Measure Word: ê. A child is eⁿ-á until able to walk, then is called gín-á."
2,bah,bah,肉,肉,meat / flesh,Measure Word (slice): tè.
3,bô-tú-hó,bô7-tú1-hó,無拄好,不舒服,not well / unwell,Refers to health only; used with lâng / pak-tó· / thâu-khak.
4,cháu,cháu,走,跑/逃,to run / run away,
5,cháu-chhut-khì,cháu-chhut3-khì,走出去,跑出去,to run out / go out,
6,cháu-chhut-lâi,cháu-chhut3-lâi3,走出來,跑出來,to run out / come out,
7,cháu-khì,cháu-khì,走去,跑走/逃走,to run away,"At end of a clause means ""ran away""; otherwise usually cháu-chhut-khì."
8,chhin-chhiūⁿ,chhin7-chhiūⁿ,親像,好像/像,similar to / like,
9,chhù-piⁿ / chhù-piⁿ-á,chhù2-piⁿ / chhù2-piⁿ7-á,厝邊 / 厝邊仔,鄰居,neighbor / neighborhood,"For ""next door neighbor"" use keh-piah ê lâng (#20)."
10,é,é,矮,矮,short (of persons / animals),Opposite of lò.
11,ê-khoán,ê7-khoán,的款,的樣子/好像,seems / probably,Always at the end of a clause. Frequently used with chhin-chhiūⁿ / ná chhin-chhiūⁿ.
12,giâ,giâ,夯,扛/舉,to carry / lift / raise (a large bulky object with both hands or on the shoulders),"Variant giah is now rare; also ""to lift/hold something by means of a stick-like object"" (Meas. ki)."
13,hō·-sòaⁿ,hō·3-sòaⁿ,雨傘,雨傘,umbrella,Measure Word: ki.
14,giâ hō·-sòaⁿ,giâ7 hō·3-sòaⁿ,夯雨傘,撐傘/拿傘,to carry or hold an umbrella,
15,hoat-sio,hoat2-sio,發燒,發燒,to become feverish / to have a fever,
16,hui-siông,hui7-siông,非常,非常,extraordinarily / unusually,
17,iau,iau,枵,餓,hungry,Often combined with pak-tó· (#38).
18,ióng,ióng,勇,強壯/堅固,strong / healthy / well-built,Opposite of lám.
19,ke / ke-á,ke / ke7-á,雞 / 雞仔,雞,chicken,Measure Word: chiah.
20,keh-piah,keh2-piah,隔壁,隔壁,next door / next house / neighborhood,"Also ""next (seat, etc.)""."
21,keh-piah-keng,keh2-piah2-keng,隔壁間,隔壁房間,the next room / the next house,
22,keh-piah-chng,keh2-piah2-chng,隔壁庄,鄰村,the next village / a neighboring village,The chng of chng-kha (countryside).
23,keh-piah koh keh-piah / keh-piah ê keh-piah,keh2-piah2 koh2 keh2-piah / keh2-piah ê7 keh2-piah,隔壁閣隔壁 / 隔壁的隔壁,隔兩家,two doors away,
24,khah...iáⁿ / koh-khah...iáⁿ,khah2...iáⁿ / koh2-khah2...iáⁿ,較...也 / 閣較...也,再...也/無論多...還是,even if / no matter how much ... still,
25,khàu,khàu,哭,哭,to cry / cry about / cry because,
26,khèng-chiok,khèng2-chiok,慶祝,慶祝,to celebrate,
27,khó-pí-kóng / phí-jū-kóng,khó1-pí1-kóng / phí1-jū3-kóng,可比講 / 譬如講,比如說/譬如說,for example / for instance; suppose that,Nā is often used with these expressions.
28,kiong-hí,kiong7-hí,恭喜,恭喜,congratulations,
29,kó·-chui,kó·1-chui,古錐,可愛,cute,
30,kut-la̍t,kut2-la̍t,骨力,努力/認真,industrious / hardworking,Synonymous with jīn-chin / piàⁿ-sè / piàⁿ-sì.
31,lám,lám,荏,弱/不耐用,weak,Of persons (prone to illness) or of things such as vehicles (unreliable). Opposite of ióng.
32,lāu-jia̍t,lāu3-jia̍t,鬧熱,熱鬧,bustling / lively and noisy / festive,
33,lò,lò,躼,高,tall (person) / long (of legs),
34,ná / ná chhin-chhiūⁿ,ná / ná1 chhin7-chhiūⁿ,若 / 若親像,好像,similar to / like,
35,o·,o·,烏,黑,black / dirty / dark,
36,o·-sek,o·7-sek,烏色,黑色,black (color),
37,o·-chhiú-á,o·7-chhiú1-á,烏手仔,黑手/技工,mechanic,"Literally ""dirty-handed one""; o·-o· = dirty / dark."
38,pak-tó·,pak2-tó·,腹肚,肚子/腹部,belly / abdomen / stomach; womb,Measure Word: ê.
39,tōa pak-tó·,tōa3 pak2-tó·,大腹肚,懷孕,to be pregnant,ū gín-á usually has the same meaning.
40,pe̍h,pe̍h,白,白/白色,white / clean,
41,pe̍h-sek,pe̍h3-sek,白色,白色,white (color),
42,phō,phō,抱,抱,to hold (a person / animal) in one's arms like an infant,
43,phòa,phòa,破,破/裂,broken / torn,
44,phòa-khì,phòa2-khì,破去,破掉/壞掉,broken / torn,
45,phah-phòa,phah2-phòa,拍破,打破,to break,
46,phôe,phôe,皮,皮,skin / peel / cover (book) / bark (tree); leather,
47,phôe-ê,phôe7-ê,皮鞋,皮鞋,leather shoes,
48,chheh-phôe,chheh2-phôe,冊皮,書皮/書套,cover of a book,
49,piⁿ / piⁿ-á,piⁿ / piⁿ7-á,邊 / 邊仔,邊/旁邊,side / edge,
50,lō·-piⁿ,lō·3-piⁿ,路邊,路邊,at the roadside / on the side of the road,
51,piⁿ-á-mn̂g,piⁿ7-á-mn̂g,邊仔門,側門,side door,"A door on the side of a building, or any non-main door on the front, including a small door built into the large main door."
52,seng-khu-piⁿ,seng7-khu7-piⁿ,身軀邊,身邊,at the side of a person,tī piⁿ-á = at the side.
53,pīn-tōaⁿ,pīn3-tōaⁿ,貧惰,懶惰,lazy / be too lazy to / get lazy,
54,pò·,pò·,布,布,cloth,Measure Word: tè.
55,pò·-ê,pò·2-ê,布鞋,布鞋,cloth shoes,
56,bīn-pò·,bīn3-pò·,面布,面巾/毛巾,face towel / bath towel,Same as bīn-kin.
57,thang-á-mn̂g-pò·,thang7-á1-mn̂g7-pò·,窗仔門布,窗簾,window curtain,Also khà-tián.
58,sàm-pō·,sàm2-pō·,散步,散步,to take a walk / take a stroll,
59,sè-jī,sè2-jī,細膩,小心/客氣,be careful / be formal / polite,"Sometimes synonymous with kheh-khì, sometimes with sió-sim (#67)."
60,seⁿ / siⁿ,seⁿ / siⁿ,生,生/出生,to be born / to give birth to,
61,seⁿ-ji̍t / siⁿ-ji̍t,seⁿ7-ji̍t / siⁿ7-ji̍t,生日,生日,birthday,
62,sek,sek,色,顏色,color,
63,sêng,sêng,成,像/好像,to resemble,
64,sim-pū,sim7-pū,新婦,媳婦,daughter-in-law,Measure Word: ê.
65,sun-sim-pū,sun7-sim7-pū,孫新婦,孫媳婦,grandson's wife / son's daughter-in-law,
