number,poj,poj_sandhi,taiwanese_hanji,mandarin,english,notes
1,a-ché/a-chí,a7-ché/a7-chí,阿姊,姊姊/姐姐,older sister,"Measure Word: ê. From Mandarin ""che-cheh"". Speaker is the 4th girl; calls her older sisters tōa-ché, jī-ché, saⁿ-ché."
2,ché-hu,ché1-hu,姊夫,姊夫,older sister's husband,
3,chāu,chāu,找,找錢,to give the change due on a purchase,
4,chheng-khì,chheng7-khì,清氣,乾淨/清潔,clean,
5,chhī,chhī,市,城市,city,Measure Word: ê.
6,chhī-lāi,chhī3-lāi,市內,市內/市區,downtown of a large city,Can also mean within the territorial boundaries of the city.
7,chhī-gōa,chhī3-gōa,市外,市郊,outside the city / a quieter area away from downtown,
8,ke-á,ke7-á,街仔,街市/鬧區,downtown shopping area of a town or village,"The similar area of a city, formerly called ke-á, is now generally called chhī-lāi."
9,chhī,chhī,飼,養/飼,to feed / raise (animals) / support (family) / keep (a pet),
10,chhit,chhit,拭,擦/拭,to wipe / erase,
11,chí-mōe,chí1-mōe,姊妹,姊妹,sisters,Measure Word: ê. Lit. older sisters – younger sisters.
12,chiàⁿ,chiàⁿ,正,右,right,
13,chiàⁿ-chhiú,chiàⁿ2-chhiú,正手,右手,right hand,
14,chiàⁿ-pêng/chiàⁿ-chhiú-pêng,chiàⁿ2-pêng/chiàⁿ2-chhiú1-pêng,正爿/正手爿,右邊,right side,
15,chiah,chiah,隻,隻,"measure word for animals, birds, and boats (sometimes for tables/chairs)",
16,hāi-khì/pháiⁿ-khì,hāi-khì/pháiⁿ-khì,害去/歹去,故障/壞掉,out of order / spoiled,
17,chin hāi,chin7 hāi,真害,糟糕/不好,(of a situation or person) bad / no good,Synonym of pháiⁿ in this sense.
18,hùi-khì,hùi2-khì,費氣,麻煩/費事,troublesome / difficult (to do or solve),Often synonymous with mâ-hôan.
19,káⁿ,káⁿ,敢,敢,to dare,Negative: m̄-káⁿ.
20,kài-siāu,kài2-siāu,介紹,介紹,to introduce; introduction,
21,kán-tan,kán1-tan,簡單,簡單/容易,simple / brief; simply / briefly,
22,khoài,khoài,快,快/容易,fast / easy,
23,kiaⁿ,kiaⁿ,驚,怕/害怕,to fear / be afraid,
24,kin-á/kin,kin7-á/kin,巾,布巾,cloth used for a particular purpose,Measure Word: tiâu. Does not mean the material clothes are made of.
25,chia̍h-pn̄g-kin,chia̍h3-pn̄g3-kin,食飯巾,餐巾,cloth napkin,
26,chhiú-kin/chhiú-kin-á,chhiú1-kin/chhiú1-kin7-á,手巾/手巾仔,手帕,handkerchief (lit. hand cloth),"A square cloth kept in a purse/pocket, used dry mostly to wipe the face (esp. sweat); also to wipe the hands."
27,bīn-kin,bīn3-kin,面巾,洗臉毛巾,washcloth for the face (lit. face cloth),Used wet to clean the face.
28,sé-seng-khu-kin/sé-ek-kin,sé1-seng7-khu7-kin/sé1-ek3-kin,洗身軀巾/洗浴巾,洗澡毛巾,washcloth for the body (lit. wash-body cloth),"Used wet to wash the body and squeezed dry to dry off. bīn-kin and sé-seng-khu-kin are the same kind of cloth, distinguished only by use."
29,toh-kin,toh2-kin,桌巾,桌布,tablecloth,
30,koai,koai,乖,乖/聽話,obedient / well-behaved,
31,lah-sap,lah2-sap,垃圾,髒,dirty,
32,mâ-hôan,mâ7-hôan,麻煩,麻煩,troublesome; to trouble (a person),
33,mo·/mô·/mn̂g,mo·/mô·/mn̂g,毛,毛,hair / fur / feather / down,Measure Word: ki.
34,thâu-mo·/thâu-mô·/thâu-mn̂g,thâu7-mo·/thâu7-mô·/thâu7-mn̂g,頭毛,頭髮,hair of the head,
35,mô·,mô·,毛,羊毛,wool,"When mô· means wool it is always 5th tone; properly iûⁿ-mo· = the fleece of sheep. The hair of other animals is not necessarily 5th tone."
36,niau/niau-á,niau/niau7-á,貓/貓仔,貓,cat,Measure Word: chiah.
37,niau-á-kiáⁿ,niau7-á-kiáⁿ,貓仔囝,小貓,kitten,
38,oat,oat,斡,轉彎,to turn (of a person/animal/vehicle in motion),
39,oh,oh,僫,難/不容易,difficult / hard; slow,
40,pêng,pêng,爿,邊/方,by the side of / a side,
41,hit pêng,hit2 pêng,彼爿,那邊/對方,over there / the other side / the other party,
42,sai-hū,sai7-hū,師傅,師傅,skilled worker / master workman,Measure Word: ê.
43,thì-thâu-sai-hū,thì2-thâu7-sai7-hū,剃頭師傅,理髮師,barber,
44,se̍k-sāi,se̍k3-sāi,熟似,認識/熟識,to be acquainted with / familiar with (a person),
45,se̍k,se̍k,熟,熟悉,to be familiar with (a place),
46,sió-chiá,sió1-chiá,小姐,小姐,young lady / Miss,
47,sió-mōe,sió1-mōe,小妹,妹妹/小妹,younger sister,"Measure Word: ê. From Mandarin ""me-meh""."
48,mōe-sài,mōe3-sài,妹婿,妹夫,younger sister's husband,
49,siu-lí,siu7-lí,修理,修理/打,to repair; to hit (slang),
50,siūⁿ,siūⁿ,想,想/考慮,to think / consider; think of / about,"siūⁿ + Negative = ""I don't think that..."""
51,siūⁿ-boeh,siūⁿ3-boeh,想欲,想要,to think of (doing something),
52,siūⁿ-chò/siūⁿ-kóng,siūⁿ3-chò/siūⁿ3-kóng,想做/想講,以為,to (usually mistakenly) think that...,
53,siūⁿ-ū,siūⁿ3-ū,想有,想得到/想起來,to recall / recollect (after some effort),
54,siūⁿ-bô,siūⁿ3-bô,想無,想不起來,cannot recall / cannot remember,
55,su-ki,su7-ki,司機,司機,driver / chauffeur,Measure Word: ê.
56,tāi-ke,tāi3-ke,大家,大家/眾人,everybody / all (persons),
57,té,té,短,短,short,Of arms/legs/things/life; not used of a person's height. Opposite of tn̂g.
58,tê-kho·/sat-bûn,tê7-kho·/sat2-bûn,茶箍/雪文,肥皂/香皂,soap,Measure Word: tè/lia̍p.
59,thang,thang,通,可以,may / be permitted,"Negative: m̄-thang. Can express morality or legality, esp. between superior and inferior; interchangeable with but less common than ē-sái-tit/bē-sái-tit (Ls 14) and mài (Ls 10)."
60,thâu-ke,thâu7-ke,頭家,老闆/主人,head of a shop or firm; husband,Also called láu-pán (from Mandarin). Younger couples say sian-siⁿ for husband.
61,thâu-ke-niû,thâu7-ke7-niû,頭家娘,老闆娘,wife of the boss,
62,thâu-khak/thâu,thâu7-khak/thâu,頭殼/頭,頭,head,Measure Word: lia̍p. thâu-khak always means the head of the body; thâu has other uses studied later.
63,sé-thâu,sé1-thâu,洗頭,洗頭,to wash the hair / get a shampoo,
64,thì,thì,剃,剃/理,to cut (hair of the head),Orig. meaning of thì is to shave the head.
65,thì-thâu/chián thâu-mo·,thì2-thâu/chián1 thâu7-mo·,剃頭/剪頭毛,理髮/剪頭髮,to get a haircut / to give a haircut,
66,tiàm,tiàm,店,店,shop / store,Measure Word: keng.
67,chheh-tiàm,chheh2-tiàm,冊店,書店,bookstore,
68,pn̄g-tiàm,pn̄g3-tiàm,飯店,餐館,restaurant,
69,tōa-pn̄g-tiàm,tōa3-pn̄g3-tiàm,大飯店,飯店/旅館,hotel (including a restaurant),
